EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:02,048	00:00:02,816	| radiolab_podcast17matchmadeinmarrow |	Are you awake
EDL	00:00:10,752	00:00:15,616	| radiolab_podcast17matchmadeinmarrow |	Radio WNYC
EDL	00:00:19,456	00:00:22,784	| radiolab_podcast17matchmadeinmarrow |	Hey I'm Jared Radiolab
EDL	00:00:22,784	00:00:23,552	| radiolab_podcast17matchmadeinmarrow |	So
EDL	00:00:24,320	00:00:25,856	| radiolab_podcast17matchmadeinmarrow |	We got an email from you
EDL	00:00:25,856	00:00:28,160	| radiolab_podcast17matchmadeinmarrow |	You can head
EDL	00:00:28,672	00:00:35,072	| radiolab_podcast17matchmadeinmarrow |	Not long ago our editor and we learned i weekly got into a conversation with this woman
EDL	00:00:35,072	00:00:39,680	| radiolab_podcast17matchmadeinmarrow |	Her name is Janelle Jenny I like the Packers
EDL	00:00:39,680	00:00:44,544	| radiolab_podcast17matchmadeinmarrow |	I guess photographers would technically be my job but I do a whole lot of different things
EDL	00:00:45,056	00:00:49,152	| radiolab_podcast17matchmadeinmarrow |	None of which really pertain to the story at hand
EDL	00:00:49,664	00:00:55,808	| radiolab_podcast17matchmadeinmarrow |	And our story really starts when Janelle sent an email to the Radiolab inbox basically saying I need your help
EDL	00:00:56,320	00:00:56,832	| radiolab_podcast17matchmadeinmarrow |	Yeah
EDL	00:00:57,344	00:00:58,880	| radiolab_podcast17matchmadeinmarrow |	Something that happened to her
EDL	00:00:58,880	00:01:00,672	| radiolab_podcast17matchmadeinmarrow |	That was a wondrous
EDL	00:01:01,184	00:01:02,976	| radiolab_podcast17matchmadeinmarrow |	An unexplainable
EDL	00:01:02,976	00:01:04,512	| radiolab_podcast17matchmadeinmarrow |	And very
EDL	00:01:04,512	00:01:05,024	| radiolab_podcast17matchmadeinmarrow |	Weird
EDL	00:01:05,792	00:01:08,864	| radiolab_podcast17matchmadeinmarrow |	And as a result Janelle had found herself stuck
EDL	00:01:08,864	00:01:09,888	| radiolab_podcast17matchmadeinmarrow |	In
EDL	00:01:09,888	00:01:10,400	| radiolab_podcast17matchmadeinmarrow |	Story
EDL	00:01:10,912	00:01:17,312	| radiolab_podcast17matchmadeinmarrow |	A story told a hundreds of thousands of people all across the country a story that's its rights
EDL	00:01:17,312	00:01:22,944	| radiolab_podcast17matchmadeinmarrow |	Smack dab in the middle of one of the biggest cultural divides in our country right now
EDL	00:01:22,944	00:01:24,992	| radiolab_podcast17matchmadeinmarrow |	It was a story that wasn't hers
EDL	00:01:25,504	00:01:29,856	| radiolab_podcast17matchmadeinmarrow |	She wanted us to help her find a way to finally tell her story
EDL	00:01:31,136	00:01:32,672	| radiolab_podcast17matchmadeinmarrow |	Do you want me to kind of just
EDL	00:01:34,208	00:01:35,744	| radiolab_podcast17matchmadeinmarrow |	Sure well
EDL	00:01:36,256	00:01:38,048	| radiolab_podcast17matchmadeinmarrow |	When I was 18
EDL	00:01:38,048	00:01:39,584	| radiolab_podcast17matchmadeinmarrow |	I went to a concert
EDL	00:01:40,608	00:01:45,216	| radiolab_podcast17matchmadeinmarrow |	A rock concert he has actually is at Warped Tour
EDL	00:01:45,216	00:01:49,056	| radiolab_podcast17matchmadeinmarrow |	Looks like a festival of rock concert
EDL	00:01:49,056	00:01:51,872	| radiolab_podcast17matchmadeinmarrow |	Tons of bands on different stages all over the place
EDL	00:01:51,872	00:01:57,248	| radiolab_podcast17matchmadeinmarrow |	And Janelle is walking around between all the different stages in merchandising tables when she sees
EDL	00:01:57,760	00:01:58,528	| radiolab_podcast17matchmadeinmarrow |	This
EDL	00:01:58,528	00:02:02,112	| radiolab_podcast17matchmadeinmarrow |	10 by 10 white tent with just a little cable insurance
EDL	00:02:02,624	00:02:08,512	| radiolab_podcast17matchmadeinmarrow |	Table with a sign on it that says sign up to be on the registry sav-a-life something like that
EDL	00:02:09,024	00:02:11,840	| radiolab_podcast17matchmadeinmarrow |	So this was rock music and good deeds
EDL	00:02:11,840	00:02:15,680	| radiolab_podcast17matchmadeinmarrow |	Ride together especially right was just a pretty good mix in hindsight
EDL	00:02:15,680	00:02:18,752	| radiolab_podcast17matchmadeinmarrow |	Soap Janelle read the sign and she thought to herself out sign up
EDL	00:02:18,752	00:02:20,032	| radiolab_podcast17matchmadeinmarrow |	Why don't ya
EDL	00:02:20,032	00:02:22,336	| radiolab_podcast17matchmadeinmarrow |	Did you knew what did you know what bone marrow was
EDL	00:02:23,104	00:02:29,504	| radiolab_podcast17matchmadeinmarrow |	Yeah yeah I mean that would mean that they take a really long needle and stick it in you
EDL	00:02:29,504	00:02:35,904	| radiolab_podcast17matchmadeinmarrow |	Second bun stuff I suppose at that point that was probably not the for thoughts and I think the altruist
EDL	00:02:35,904	00:02:38,208	| radiolab_podcast17matchmadeinmarrow |	Thick like do something
EDL	00:02:38,208	00:02:40,512	| radiolab_podcast17matchmadeinmarrow |	Yeah that was probably the main motivation
EDL	00:02:41,280	00:02:46,144	| radiolab_podcast17matchmadeinmarrow |	10th was sign some papers in the swapper cheat because
EDL	00:02:46,656	00:02:52,032	| radiolab_podcast17matchmadeinmarrow |	With a bone marrow donation they actually have to figure out if your a genetic match with someone who would receive the donation
EDL	00:02:52,544	00:02:58,944	| radiolab_podcast17matchmadeinmarrow |	Which is part of what Janelle's that was cool about some I always thought that you would just be an amazing opportunity to
EDL	00:02:58,944	00:03:01,760	| radiolab_podcast17matchmadeinmarrow |	Be the one person who could do something
EDL	00:03:01,760	00:03:05,344	| radiolab_podcast17matchmadeinmarrow |	For somebody that like literally no one else in the world could
EDL	00:03:05,344	00:03:11,488	| radiolab_podcast17matchmadeinmarrow |	What's a deep connection with someone that I don't know if either of you are only children by
EDL	00:03:12,256	00:03:13,792	| radiolab_podcast17matchmadeinmarrow |	Yeah it you know how they're just like
EDL	00:03:14,816	00:03:18,656	| radiolab_podcast17matchmadeinmarrow |	You have cousins are not friends but at some point there's not that
EDL	00:03:18,656	00:03:23,264	| radiolab_podcast17matchmadeinmarrow |	It sounds so stupid that biological connection like besides my parents are
EDL	00:03:23,264	00:03:25,568	| radiolab_podcast17matchmadeinmarrow |	When I look at you you missed
EDL	00:03:25,568	00:03:26,336	| radiolab_podcast17matchmadeinmarrow |	The
EDL	00:03:26,336	00:03:28,384	| radiolab_podcast17matchmadeinmarrow |	Idea of someone who was
EDL	00:03:28,384	00:03:34,784	| radiolab_podcast17matchmadeinmarrow |	Muchly like you and muchly in your world and muchly
EDL	00:03:34,784	00:03:41,184	| radiolab_podcast17matchmadeinmarrow |	Even the kind of the need like somebody out there dependent on me on kind of that almost other
EDL	00:03:41,184	00:03:42,208	| radiolab_podcast17matchmadeinmarrow |	The worldly level
EDL	00:03:42,720	00:03:49,120	| radiolab_podcast17matchmadeinmarrow |	Seokjin L swab your cheek sign the paper and then went about her normal life and then about 6 months
EDL	00:03:49,120	00:03:50,912	| radiolab_podcast17matchmadeinmarrow |	Later she got a call
EDL	00:03:50,912	00:03:53,728	| radiolab_podcast17matchmadeinmarrow |	Yeah it was a phone call to my landline
EDL	00:03:54,240	00:03:56,288	| radiolab_podcast17matchmadeinmarrow |	That's a long-ass
EDL	00:03:56,288	00:03:57,824	| radiolab_podcast17matchmadeinmarrow |	So what are you doing here
EDL	00:03:57,824	00:04:00,384	| radiolab_podcast17matchmadeinmarrow |	Alex knost 2009
EDL	00:04:00,384	00:04:01,408	| radiolab_podcast17matchmadeinmarrow |	Okay
EDL	00:04:01,408	00:04:06,016	| radiolab_podcast17matchmadeinmarrow |	It was a phone call and I remember very specifically it was a voicemail
EDL	00:04:06,528	00:04:11,392	| radiolab_podcast17matchmadeinmarrow |	Because I hadn't had the chance to answer it and they said something to the extent of
EDL	00:04:11,904	00:04:15,232	| radiolab_podcast17matchmadeinmarrow |	Your high from the national bone marrow donor registry
EDL	00:04:15,744	00:04:17,536	| radiolab_podcast17matchmadeinmarrow |	We've done some tests and we
EDL	00:04:18,559	00:04:24,703	| radiolab_podcast17matchmadeinmarrow |	Nailed you down to be a preliminary match for a patient so we need you to come in and do some further tests that in
EDL	00:04:25,471	00:04:27,519	| radiolab_podcast17matchmadeinmarrow |	The blood and stuff
EDL	00:04:27,519	00:04:33,919	| radiolab_podcast17matchmadeinmarrow |	Oh no I forgot that I did that or are you thinking oh boy or what were you I was so overcome
EDL	00:04:33,919	00:04:35,967	| radiolab_podcast17matchmadeinmarrow |	With emotion I remember just just
EDL	00:04:35,967	00:04:36,735	| radiolab_podcast17matchmadeinmarrow |	To think
EDL	00:04:36,735	00:04:41,087	| radiolab_podcast17matchmadeinmarrow |	There's somebody there's somebody out there that might be my
EDL	00:04:41,087	00:04:42,111	| radiolab_podcast17matchmadeinmarrow |	Person
EDL	00:04:42,111	00:04:44,415	| radiolab_podcast17matchmadeinmarrow |	Awesome absolutely no hesitation am I in
EDL	00:04:45,695	00:04:46,463	| radiolab_podcast17matchmadeinmarrow |	So
EDL	00:04:46,463	00:04:49,023	| radiolab_podcast17matchmadeinmarrow |	Janelle heads in the clinic because well
EDL	00:04:49,023	00:04:55,423	| radiolab_podcast17matchmadeinmarrow |	Bone marrow the stuff in the core of your bones actually produces all your blood cells and in
EDL	00:04:55,423	00:05:00,031	| radiolab_podcast17matchmadeinmarrow |	Importantly including your white blood cells which are a key part of your immune system
EDL	00:05:00,031	00:05:01,055	| radiolab_podcast17matchmadeinmarrow |	So you doing
