EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:02,048	00:00:02,816	| radiolab082315 |	Are you awake
EDL	00:00:06,912	00:00:10,752	| radiolab082315 |	Listening to Radiolab
EDL	00:00:11,264	00:00:15,616	| radiolab082315 |	Radio WNYC
EDL	00:00:41,728	00:00:48,128	| radiolab082315 |	EDM
EDL	00:00:48,128	00:00:54,528	| radiolab082315 |	Revolt there is no she Liam
EDL	00:00:54,528	00:01:00,672	| radiolab082315 |	Yes he is pronoun and element stop writing the most noble gas
EDL	00:01:03,744	00:01:08,096	| radiolab082315 |	If there was she Liam
EDL	00:01:08,864	00:01:09,888	| radiolab082315 |	I'll find
EDL	00:01:10,656	00:01:11,936	| radiolab082315 |	Why
EDL	00:01:11,936	00:01:12,960	| radiolab082315 |	Lie
EDL	00:01:12,960	00:01:19,360	| radiolab082315 |	She might be
EDL	00:01:19,360	00:01:25,504	| radiolab082315 |	Ungettable rod
EDL	00:01:25,504	00:01:28,064	| radiolab082315 |	I'm Roberto which is its Radiolab today
EDL	00:01:28,832	00:01:32,160	| radiolab082315 |	Elements I carried your oxygen
EDL	00:01:33,696	00:01:37,536	| radiolab082315 |	And you walked beside me through the lobby commenting on the decor
EDL	00:01:37,536	00:01:39,328	| radiolab082315 |	When you need it to stop for breath
EDL	00:01:40,096	00:01:40,864	| radiolab082315 |	Your hand
EDL	00:01:41,632	00:01:42,400	| radiolab082315 |	Wren light
EDL	00:01:42,912	00:01:43,424	| radiolab082315 |	Unsteady
EDL	00:01:45,472	00:01:47,008	| radiolab082315 |	By the ocean of breath
EDL	00:01:47,008	00:01:47,520	| radiolab082315 |	Twice
EDL	00:01:48,544	00:01:49,056	| radiolab082315 |	I remember
EDL	00:01:50,592	00:01:52,128	| radiolab082315 |	I carried your oxygen
EDL	00:01:54,176	00:01:54,944	| radiolab082315 |	He was heavy
EDL	00:01:56,736	00:01:57,760	| radiolab082315 |	Oblique alloy
EDL	00:01:59,040	00:02:00,064	| radiolab082315 |	Steel
EDL	00:02:08,512	00:02:14,912	| radiolab082315 |	This hour is a collaboration with poets like the ones you hurting while you're more of
EDL	00:02:14,912	00:02:19,008	| radiolab082315 |	Musicians supporters of course the periodic table
EDL	00:02:20,800	00:02:21,568	| radiolab082315 |	Speaking of which
EDL	00:02:22,848	00:02:24,128	| radiolab082315 |	A producer
EDL	00:02:24,128	00:02:25,152	| radiolab082315 |	Storm wheeler
EDL	00:02:25,152	00:02:28,224	| radiolab082315 |	Who's sodium spark brain conceived this entire show
EDL	00:02:28,992	00:02:33,088	| radiolab082315 |	He will lead us off so this one starts with the story I heard from Jamie Lowe
EDL	00:02:33,088	00:02:34,368	| radiolab082315 |	She's a rider in Brooklyn
EDL	00:02:34,368	00:02:39,232	| radiolab082315 |	And at the heart of this story is this particular 24-hour. In Jamie's life that
EDL	00:02:39,744	00:02:40,256	| radiolab082315 |	She is
EDL	00:02:40,768	00:02:41,280	| radiolab082315 |	Venezia
EDL	00:02:41,792	00:02:44,608	| radiolab082315 |	Publish to set it up for one second so what are we about to watch
EDL	00:02:44,608	00:02:46,656	| radiolab082315 |	I'm not actually exactly sure where it's
EDL	00:02:46,656	00:02:47,424	| radiolab082315 |	Starts
EDL	00:02:47,424	00:02:48,960	| radiolab082315 |	But we're about to watch
EDL	00:02:48,960	00:02:49,984	| radiolab082315 |	I think the night but
EDL	00:02:49,984	00:02:51,776	| radiolab082315 |	Before Valentine's Day
EDL	00:02:51,776	00:02:56,896	| radiolab082315 |	2001
EDL	00:02:56,896	00:02:57,664	| radiolab082315 |	Walker
EDL	00:02:57,664	00:02:58,432	| radiolab082315 |	Through the tape
EDL	00:02:58,432	00:03:01,248	| radiolab082315 |	Go for a urine control there was a space bar
EDL	00:03:05,344	00:03:09,440	| radiolab082315 |	Springer video starts
EDL	00:03:09,440	00:03:11,488	| radiolab082315 |	Night time Jamie
EDL	00:03:11,488	00:03:15,840	| radiolab082315 |	And her friend Mike he's one filming there outside his apartment in Brooklyn in the cameras pointed
EDL	00:03:15,840	00:03:17,888	| radiolab082315 |	A bunch of high school students who were just
EDL	00:03:17,888	00:03:18,656	| radiolab082315 |	Walking by
EDL	00:03:18,656	00:03:19,680	| radiolab082315 |	Joy City Hotel
EDL	00:03:19,680	00:03:21,728	| radiolab082315 |	So you want to be an actress weigh
EDL	00:03:24,800	00:03:26,080	| radiolab082315 |	I love acting
EDL	00:03:27,616	00:03:28,640	| radiolab082315 |	Hell yeah really
EDL	00:03:29,152	00:03:30,432	| radiolab082315 |	That's so cool
EDL	00:03:31,968	00:03:35,552	| radiolab082315 |	Yeah that is my enemy dell'arte cell phone
EDL	00:03:36,320	00:03:36,832	| radiolab082315 |	What's month
EDL	00:03:37,344	00:03:39,904	| radiolab082315 |	It is nor hand or foot nor are North Face
EDL	00:03:40,416	00:03:42,208	| radiolab082315 |	Are any of the laundromat
EDL	00:03:44,512	00:03:48,352	| radiolab082315 |	I'm somehow am I gagging them on to recite it
EDL	00:03:48,352	00:03:49,376	| radiolab082315 |	Tamest you're perfect
EDL	00:03:49,888	00:03:51,424	| radiolab082315 |	Toshio's without that title
EDL	00:03:51,424	00:03:54,496	| radiolab082315 |	Aroma. They name and for the name which is no part of the
EDL	00:03:55,008	00:03:58,592	| radiolab082315 |	Take all my stuff and screaming
EDL	00:03:59,616	00:04:00,896	| radiolab082315 |	Baby's all right
EDL	00:04:01,408	00:04:05,248	| radiolab082315 |	Eventually turns to Jamie she's sitting on the stoop
EDL	00:04:05,248	00:04:09,600	| radiolab082315 |	Huge curly hair wide eyes and she starts to sing
EDL	00:04:09,600	00:04:10,112	| radiolab082315 |	The kids are song
EDL	00:04:10,624	00:04:11,136	| radiolab082315 |	What does
EDL	00:04:11,648	00:04:13,184	| radiolab082315 |	You don't come again
EDL	00:04:19,327	00:04:21,631	| radiolab082315 |	I was pretty convinced that I was like I agree
EDL	00:04:21,631	00:04:22,911	| radiolab082315 |	Singer and rapper
EDL	00:04:22,911	00:04:23,935	| radiolab082315 |	She likes
EDL	00:04:24,447	00:04:30,591	| radiolab082315 |	Producing a lot in never
EDL	00:04:30,591	00:04:36,991	| radiolab082315 |	It was fun to watch people react
EDL	00:04:36,991	00:04:38,015	| radiolab082315 |	She made people
EDL	00:04:38,015	00:04:40,063	| radiolab082315 |	Play Happy wherever she went
EDL	00:04:40,575	00:04:45,183	| radiolab082315 |	Flea markets and she would talk to people and she would pull the spark out of
EDL	00:04:45,183	00:04:47,999	| radiolab082315 |	It just felt like New York love tricks
EDL	00:04:48,511	00:04:49,535	| radiolab082315 |	Text Mike Ryan
EDL	00:04:49,535	00:04:51,839	| radiolab082315 |	Guy holding the camera healing that Jamie just
EDL	00:04:51,839	00:04:54,143	| radiolab082315 |	3 weeks earlier not long after moving your
EDL	00:04:54,143	00:04:56,703	| radiolab082315 |	And they pretty much instantly became friends
EDL	00:04:57,215	00:04:57,983	| radiolab082315 |	She was
EDL	00:04:57,983	00:04:59,007	| radiolab082315 |	Show
EDL	00:04:59,007	00:04:59,775	| radiolab082315 |	Positive
EDL	00:04:59,775	00:05:02,591	| radiolab082315 |	Recology
EDL	00:05:03,103	00:05:04,639	| radiolab082315 |	Talking to little kids on a stoop
EDL	00:05:05,151	00:05:07,967	| radiolab082315 |	But then that next 4-5 hours
EDL	00:05:07,967	00:05:08,991	| radiolab082315 |	It was pretty defining
EDL	00:05:12,063	00:05:13,855	| radiolab082315 |	Taken 2
EDL	00:05:13,855	00:05:14,879	| radiolab082315 |	Lakes Apartment
EDL	00:05:14,879	00:05:15,647	| radiolab082315 |	You're just
EDL	00:05:15,647	00:05:16,415	| radiolab082315 |	Walking around
EDL	00:05:16,927	00:05:18,719	| radiolab082315 |	In a bra and open dress
EDL	00:05:19,743	00:05:21,023	| radiolab082315 |	Sparkly red bra
EDL	00:05:21,023	00:05:21,791	| radiolab082315 |	And plus
EDL	00:05:21,791	00:05:22,303	| radiolab082315 |	Big bag
EDL	00:05:22,815	00:05:24,351	| radiolab082315 |	Plastic bag on the
EDL	00:05:24,351	00:05:25,119	| radiolab082315 |	Stomach
EDL	00:05:25,119	00:05:26,655	| radiolab082315 |	Belly dancing
EDL	00:05:26,655	00:05:29,215	| radiolab082315 |	You might have to show their eyes book
EDL	00:05:29,215	00:05:30,495	| radiolab082315 |	Okay we go
EDL	00:05:30,495	00:05:31,263	| radiolab082315 |	That's worried about
EDL	00:05:31,775	00:05:32,543	| radiolab082315 |	4 hours
EDL	00:05:33,567	00:05:34,079	| radiolab082315 |	PetSmart
EDL	00:05:35,103	00:05:36,127	| radiolab082315 |	Boy
EDL	00:05:39,711	00:05:40,735	| radiolab082315 |	Good morning
EDL	00:05:40,735	00:05:41,247	| radiolab082315 |	Stalin
EDL	00:05:41,759	00:05:43,295	| radiolab082315 |	Sade 2001
EDL	00:05:44,575	00:05:45,343	| radiolab082315 |	That's
EDL	00:05:45,343	00:05:47,647	| radiolab082315 |	Kumquats and avocados are kumquats for
EDL	00:05:48,415	00:05:48,927	| radiolab082315 |	My grandpa
EDL	00:05:49,695	00:05:50,463	| radiolab082315 |	Kumquat
EDL	00:05:51,487	00:05:53,279	| radiolab082315 |	Three or four days ago and
EDL	00:05:53,791	00:05:57,887	| radiolab082315 |	Best breakfast by cutting board
EDL	00:05:59,167	00:06:00,447	| radiolab082315 |	I'm kind of Power Bars
EDL	00:06:00,447	00:06:01,215	| radiolab082315 |	Rainbow from
EDL	00:06:01,215	00:06:04,543	| radiolab082315 |	In the present I gave you tighten cup of wine that we're going to drink
EDL	00:06:04,543	00:06:05,311	| radiolab082315 |	And
EDL	00:06:05,311	00:06:10,175	| radiolab082315 |	A cup of wine of course it's 7:40 in the morning
EDL	00:06:10,175	00:06:10,687	| radiolab082315 |	Just keep pumping
EDL	00:06:11,199	00:06:11,711	| radiolab082315 |	I'm tired of
EDL	00:06:14,015	00:06:15,551	| radiolab082315 |	Keyport Mike
EDL	00:06:15,551	00:06:16,319	| radiolab082315 |	Today weather
EDL	00:06:17,087	00:06:18,111	| radiolab082315 |	What's going to happen today
EDL	00:06:18,623	00:06:19,391	| radiolab082315 |	Today
EDL	00:06:19,391	00:06:20,159	| radiolab082315 |	Contact MTV
EDL	00:06:20,671	00:06:21,439	| radiolab082315 |	Debate Club
EDL	00:06:24,255	00:06:25,279	| radiolab082315 |	10 Fidel Castro
EDL	00:06:29,375	00:06:30,143	| radiolab082315 |	List of
EDL	00:06:32,191	00:06:33,471	| radiolab082315 |	It has to be about them
EDL	00:06:34,239	00:06:34,751	| radiolab082315 |	Give me about any
EDL	00:06:37,823	00:06:38,591	| radiolab082315 |	Jon Tester
EDL	00:06:40,895	00:06:47,039	| radiolab082315 |	Were you were you meaning that literally that you were going to go on MTV and debate Gore V bush
EDL	00:06:47,551	00:06:48,063	| radiolab082315 |	And then
EDL	00:06:48,831	00:06:50,367	| radiolab082315 |	That is exactly what I had in
EDL	00:06:51,903	00:06:52,415	| radiolab082315 |	I thought it was make
EDL	00:06:53,183	00:06:53,951	| radiolab082315 |	It seemed harmless
EDL	00:06:55,231	00:06:58,303	| radiolab082315 |	It just didn't occur to me that what I was seeing with somebody who
EDL	00:06:59,327	00:07:01,887	| radiolab082315 |	Had deviated substantially from who they wanted to be
EDL	00:07:03,935	00:07:04,447	| radiolab082315 |	Jesus Christ
EDL	00:07:05,983	00:07:11,871	| radiolab082315 |	Eventually might got up had to go to work Jamie took off for a while and then later that day she showed up at his office
EDL	00:07:12,383	00:07:14,943	| radiolab082315 |	The first everything seemed sort of fine but
EDL	00:07:14,943	00:07:16,223	| radiolab082315 |	Within 20 minutes she said hey
EDL	00:07:17,247	00:07:18,015	| radiolab082315 |	Tell you what
EDL	00:07:18,015	00:07:19,551	| radiolab082315 |	Can we go to the roof really fast
EDL	00:07:21,855	00:07:22,367	| radiolab082315 |	What
EDL	00:07:23,903	00:07:25,695	| radiolab082315 |	And that immediately
EDL	00:07:29,279	00:07:31,327	| radiolab082315 |	Say okay over pants
EDL	00:07:31,327	00:07:35,423	| radiolab082315 |	Floral wrap around skirt we are now going to the roof
EDL	00:07:35,935	00:07:38,239	| radiolab082315 |	Are you ready to be blown up in pink
EDL	00:07:40,031	00:07:42,591	| radiolab082315 |	You can hear his
EDL	00:07:43,103	00:07:47,967	| radiolab082315 |	Done like the day has been insane this is at the end of that day
EDL	00:07:48,991	00:07:49,759	| radiolab082315 |	Snowy
EDL	00:07:51,039	00:07:52,575	| radiolab082315 |	7th Avenue rooftop
EDL	00:07:53,087	00:07:59,487	| radiolab082315 |	What it what is it what is it
