EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:02,304	00:00:05,376	| radiolab_podcast18_apologetical |	Hey this is Jack before we start let me tell you about
EDL	00:00:06,400	00:00:08,192	| radiolab_podcast18_apologetical |	About a week ago we
EDL	00:00:08,192	00:00:08,960	| radiolab_podcast18_apologetical |	Sent out a message
EDL	00:00:09,472	00:00:11,264	| radiolab_podcast18_apologetical |	To the database
EDL	00:00:11,264	00:00:11,776	| radiolab_podcast18_apologetical |	People
EDL	00:00:12,544	00:00:15,616	| radiolab_podcast18_apologetical |	Subscribers Radiolab newsletter and who our new contributors to Radiolab
EDL	00:00:16,128	00:00:17,920	| radiolab_podcast18_apologetical |	We are we sent a message
EDL	00:00:17,920	00:00:18,432	| radiolab_podcast18_apologetical |	That list of people
EDL	00:00:19,456	00:00:20,224	| radiolab_podcast18_apologetical |	He said
EDL	00:00:20,224	00:00:22,528	| radiolab_podcast18_apologetical |	Sort out of the blue we said hey here's a number to call
EDL	00:00:23,040	00:00:23,808	| radiolab_podcast18_apologetical |	If you're willing
EDL	00:00:24,832	00:00:26,368	| radiolab_podcast18_apologetical |	Gosip today
EDL	00:00:27,648	00:00:34,048	| radiolab_podcast18_apologetical |	Tell us a couple things first who are you I'm Fiona it is 4:20 here in
EDL	00:00:34,048	00:00:37,376	| radiolab_podcast18_apologetical |	California where are you in the world
EDL	00:00:37,376	00:00:41,472	| radiolab_podcast18_apologetical |	Houston Texas
EDL	00:00:41,472	00:00:47,872	| radiolab_podcast18_apologetical |	Terminate Nashville Tennessee Narragansett Rhode Island Davidson North Carolina
EDL	00:00:47,872	00:00:50,432	| radiolab_podcast18_apologetical |	Kansas City Missouri Chicago
EDL	00:00:50,944	00:00:57,344	| radiolab_podcast18_apologetical |	Massachusetts is kind of amazing and it's just a short. Time we had almost a thousand calls from all over the world
EDL	00:00:57,344	00:00:58,112	| radiolab_podcast18_apologetical |	World end
EDL	00:00:58,112	00:00:59,648	| radiolab_podcast18_apologetical |	One of the questions we sprung on peep
EDL	00:01:00,160	00:01:00,928	| radiolab_podcast18_apologetical |	Was
EDL	00:01:00,928	00:01:02,976	| radiolab_podcast18_apologetical |	On this particular day I think it was December 11th
EDL	00:01:04,000	00:01:07,584	| radiolab_podcast18_apologetical |	What are you grateful for
EDL	00:01:08,096	00:01:11,936	| radiolab_podcast18_apologetical |	Tilling grateful for my children if no one crying
EDL	00:01:11,936	00:01:13,728	| radiolab_podcast18_apologetical |	Delta by Mumford today where you felt
EDL	00:01:14,240	00:01:15,008	| radiolab_podcast18_apologetical |	Grateful
EDL	00:01:15,008	00:01:17,312	| radiolab_podcast18_apologetical |	For something I felt grateful
EDL	00:01:17,312	00:01:21,152	| radiolab_podcast18_apologetical |	I woke up and it was raining
EDL	00:01:21,664	00:01:23,968	| radiolab_podcast18_apologetical |	Went to pick up my son from daycare
EDL	00:01:23,968	00:01:25,248	| radiolab_podcast18_apologetical |	It's Always Alright
EDL	00:01:25,248	00:01:26,528	| radiolab_podcast18_apologetical |	Special moment when I
EDL	00:01:26,528	00:01:28,576	| radiolab_podcast18_apologetical |	Pick him up and he sees me and he's happy
EDL	00:01:28,576	00:01:32,160	| radiolab_podcast18_apologetical |	Today a moment where I felt grateful
EDL	00:01:32,672	00:01:33,952	| radiolab_podcast18_apologetical |	It was a hard day
EDL	00:01:34,720	00:01:37,536	| radiolab_podcast18_apologetical |	And when I got home
EDL	00:01:38,304	00:01:38,816	| radiolab_podcast18_apologetical |	I just
EDL	00:01:39,328	00:01:40,352	| radiolab_podcast18_apologetical |	Pride and
EDL	00:01:40,864	00:01:42,144	| radiolab_podcast18_apologetical |	My husband help me
EDL	00:01:45,216	00:01:47,520	| radiolab_podcast18_apologetical |	I feel really grateful.
EDL	00:01:47,520	00:01:52,896	| radiolab_podcast18_apologetical |	I have somebody who loves me that way the moment that I felt gratitude
EDL	00:01:52,896	00:01:54,944	| radiolab_podcast18_apologetical |	A little something different in my hair
EDL	00:01:55,712	00:01:56,992	| radiolab_podcast18_apologetical |	And my coworker
EDL	00:01:56,992	00:02:01,088	| radiolab_podcast18_apologetical |	First thing this morning it was so
EDL	00:02:01,088	00:02:02,368	| radiolab_podcast18_apologetical |	Sweet of her to notice
EDL	00:02:02,368	00:02:07,744	| radiolab_podcast18_apologetical |	Great father day because my step dad is still alive and seeming to be recovering and
EDL	00:02:08,512	00:02:09,792	| radiolab_podcast18_apologetical |	That is one of the best
EDL	00:02:10,560	00:02:16,704	| radiolab_podcast18_apologetical |	Things I can say about today because it's been a really long hard week I'm on it when I felt grateful today
EDL	00:02:17,216	00:02:18,752	| radiolab_podcast18_apologetical |	Sally's driving home tonight
EDL	00:02:19,264	00:02:21,312	| radiolab_podcast18_apologetical |	On the interstate on a clear night
EDL	00:02:21,824	00:02:24,896	| radiolab_podcast18_apologetical |	And listening to podcast
EDL	00:02:25,408	00:02:27,712	| radiolab_podcast18_apologetical |	Stop by the store
EDL	00:02:27,712	00:02:28,992	| radiolab_podcast18_apologetical |	Let me tell you what I'm grateful for
EDL	00:02:29,504	00:02:31,296	| radiolab_podcast18_apologetical |	I'm grateful that I get to do this work
EDL	00:02:33,088	00:02:35,392	| radiolab_podcast18_apologetical |	With this incredible team best team in journalist
EDL	00:02:35,904	00:02:38,976	| radiolab_podcast18_apologetical |	They literally pay the salaries of when you donate
EDL	00:02:38,976	00:02:41,536	| radiolab_podcast18_apologetical |	Did we get to make these stories that I hope
EDL	00:02:41,536	00:02:47,936	| radiolab_podcast18_apologetical |	Move you make you think differently about the world maybe even make you feel grateful
EDL	00:02:47,936	00:02:50,752	| radiolab_podcast18_apologetical |	That describes you in any way we need to hear from you
EDL	00:02:51,264	00:02:53,568	| radiolab_podcast18_apologetical |	We need to hear it that you want more of this
EDL	00:02:53,568	00:02:56,896	| radiolab_podcast18_apologetical |	And the way that you got a lot of snow is by donating of course in fact
EDL	00:02:56,896	00:03:00,736	| radiolab_podcast18_apologetical |	We need 4000 people to step up for January 1st
EDL	00:03:00,736	00:03:06,624	| radiolab_podcast18_apologetical |	So that we can have the money we need to fund Radiolab into 2019 anyone who does that
EDL	00:03:07,136	00:03:09,696	| radiolab_podcast18_apologetical |	Any of the four thousand of you who I hope will do that
EDL	00:03:09,696	00:03:11,232	| radiolab_podcast18_apologetical |	Will get a special gift from us
