EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:20,224	00:00:20,992	| 0eddbbdc-5dc4-4cf1-a828-f99118abdf57_f5d8d00104a881186f499ff622e84911 |	Virus
EDL	00:00:21,760	00:00:22,784	| 0eddbbdc-5dc4-4cf1-a828-f99118abdf57_f5d8d00104a881186f499ff622e84911 |	Eagle One
EDL	00:00:22,784	00:00:23,808	| 0eddbbdc-5dc4-4cf1-a828-f99118abdf57_f5d8d00104a881186f499ff622e84911 |	Packaged beans
EDL	00:00:23,808	00:00:27,648	| 0eddbbdc-5dc4-4cf1-a828-f99118abdf57_f5d8d00104a881186f499ff622e84911 |	Find json Keppler editor-in-chief of motherboard
EDL	00:00:27,648	00:00:30,720	| 0eddbbdc-5dc4-4cf1-a828-f99118abdf57_f5d8d00104a881186f499ff622e84911 |	And this is cyber are podcast about hacking
EDL	00:00:30,720	00:00:32,768	| 0eddbbdc-5dc4-4cf1-a828-f99118abdf57_f5d8d00104a881186f499ff622e84911 |	I'm feeling in this week for ben maku
EDL	00:00:32,768	00:00:39,168	| 0eddbbdc-5dc4-4cf1-a828-f99118abdf57_f5d8d00104a881186f499ff622e84911 |	Good morning what's the number of mobile devices explode so does the number of attacks on our cell that may be easier to hack into
EDL	00:00:39,168	00:00:45,568	| 0eddbbdc-5dc4-4cf1-a828-f99118abdf57_f5d8d00104a881186f499ff622e84911 |	A personal cell phone then you might think
EDL	00:00:45,568	00:00:51,968	| 0eddbbdc-5dc4-4cf1-a828-f99118abdf57_f5d8d00104a881186f499ff622e84911 |	Call recorded a private conversation and said that recording to a random contact which in the coming weeks
EDL	00:00:51,968	00:00:58,368	| 0eddbbdc-5dc4-4cf1-a828-f99118abdf57_f5d8d00104a881186f499ff622e84911 |	Millions of people will get new phones computers Amazon echos Google Home Smart coffee makers
EDL	00:00:58,368	00:01:00,672	| 0eddbbdc-5dc4-4cf1-a828-f99118abdf57_f5d8d00104a881186f499ff622e84911 |	And other Internet of Things devices
EDL	00:01:00,672	00:01:04,768	| 0eddbbdc-5dc4-4cf1-a828-f99118abdf57_f5d8d00104a881186f499ff622e84911 |	All these gadgets come with their own privacy surveillance and hacking risks
EDL	00:01:04,768	00:01:07,584	| 0eddbbdc-5dc4-4cf1-a828-f99118abdf57_f5d8d00104a881186f499ff622e84911 |	But there are steps you can take to minimize your exposure
EDL	00:01:07,584	00:01:13,728	| 0eddbbdc-5dc4-4cf1-a828-f99118abdf57_f5d8d00104a881186f499ff622e84911 |	Suicide be a good time to talk about the motherboard guide to not getting hacked or comprehensive advice on digital security
EDL	00:01:14,240	00:01:20,640	| 0eddbbdc-5dc4-4cf1-a828-f99118abdf57_f5d8d00104a881186f499ff622e84911 |	We release a new version of the guide every year for the last three years adding and changing things as hacking threats and security
EDL	00:01:20,640	00:01:22,176	| 0eddbbdc-5dc4-4cf1-a828-f99118abdf57_f5d8d00104a881186f499ff622e84911 |	Best practices evolve
EDL	00:01:22,176	00:01:25,504	| 0eddbbdc-5dc4-4cf1-a828-f99118abdf57_f5d8d00104a881186f499ff622e84911 |	Here with me today to talk about the guy is Harlow homes
EDL	00:01:25,504	00:01:29,088	| 0eddbbdc-5dc4-4cf1-a828-f99118abdf57_f5d8d00104a881186f499ff622e84911 |	Director of Newsroom digital security at freedom of the press Foundation
EDL	00:01:29,088	00:01:34,976	| 0eddbbdc-5dc4-4cf1-a828-f99118abdf57_f5d8d00104a881186f499ff622e84911 |	And Lorenzo franceschi Baker I a senior staff writer motherboard who wrote a huge chunk of the guide
EDL	00:01:37,280	00:01:41,376	| 0eddbbdc-5dc4-4cf1-a828-f99118abdf57_f5d8d00104a881186f499ff622e84911 |	So we recently published our third edition of the motherboard guide to not getting hacked
EDL	00:01:41,376	00:01:43,424	| 0eddbbdc-5dc4-4cf1-a828-f99118abdf57_f5d8d00104a881186f499ff622e84911 |	Eldorendo can you talk a little bit about
EDL	00:01:43,424	00:01:44,704	| 0eddbbdc-5dc4-4cf1-a828-f99118abdf57_f5d8d00104a881186f499ff622e84911 |	Where this project
EDL	00:01:44,704	00:01:46,240	| 0eddbbdc-5dc4-4cf1-a828-f99118abdf57_f5d8d00104a881186f499ff622e84911 |	Began three years ago and
EDL	00:01:46,240	00:01:46,752	| 0eddbbdc-5dc4-4cf1-a828-f99118abdf57_f5d8d00104a881186f499ff622e84911 |	Where it's at now
EDL	00:01:47,776	00:01:50,080	| 0eddbbdc-5dc4-4cf1-a828-f99118abdf57_f5d8d00104a881186f499ff622e84911 |	That's a good question actually
EDL	00:01:50,080	00:01:52,128	| 0eddbbdc-5dc4-4cf1-a828-f99118abdf57_f5d8d00104a881186f499ff622e84911 |	I don't really remember how we
EDL	00:01:52,128	00:01:53,152	| 0eddbbdc-5dc4-4cf1-a828-f99118abdf57_f5d8d00104a881186f499ff622e84911 |	Thought about doing this but
EDL	00:01:53,664	00:01:56,224	| 0eddbbdc-5dc4-4cf1-a828-f99118abdf57_f5d8d00104a881186f499ff622e84911 |	The question that inspired us to do this I feel like was
EDL	00:01:58,016	00:01:59,296	| 0eddbbdc-5dc4-4cf1-a828-f99118abdf57_f5d8d00104a881186f499ff622e84911 |	You know what do you tell people
EDL	00:02:01,088	00:02:02,880	| 0eddbbdc-5dc4-4cf1-a828-f99118abdf57_f5d8d00104a881186f499ff622e84911 |	About how they can protect them
EDL	00:02:03,392	00:02:04,928	| 0eddbbdc-5dc4-4cf1-a828-f99118abdf57_f5d8d00104a881186f499ff622e84911 |	It's like if someone comes to you and says
EDL	00:02:05,440	00:02:06,720	| 0eddbbdc-5dc4-4cf1-a828-f99118abdf57_f5d8d00104a881186f499ff622e84911 |	How do I not get hacked
EDL	00:02:06,720	00:02:07,488	| 0eddbbdc-5dc4-4cf1-a828-f99118abdf57_f5d8d00104a881186f499ff622e84911 |	What do you tell them
EDL	00:02:09,280	00:02:11,840	| 0eddbbdc-5dc4-4cf1-a828-f99118abdf57_f5d8d00104a881186f499ff622e84911 |	And the answer for us was like a
EDL	00:02:11,840	00:02:12,608	| 0eddbbdc-5dc4-4cf1-a828-f99118abdf57_f5d8d00104a881186f499ff622e84911 |	10000 words
EDL	00:02:13,376	00:02:13,888	| 0eddbbdc-5dc4-4cf1-a828-f99118abdf57_f5d8d00104a881186f499ff622e84911 |	Article
EDL	00:02:14,400	00:02:19,008	| 0eddbbdc-5dc4-4cf1-a828-f99118abdf57_f5d8d00104a881186f499ff622e84911 |	Which maybe is not the best answer all the time but that was the
EDL	00:02:19,776	00:02:20,544	| 0eddbbdc-5dc4-4cf1-a828-f99118abdf57_f5d8d00104a881186f499ff622e84911 |	I guess I was dead
EDL	00:02:20,544	00:02:22,336	| 0eddbbdc-5dc4-4cf1-a828-f99118abdf57_f5d8d00104a881186f499ff622e84911 |	Yeah maybe a little Overkill
EDL	00:02:23,360	00:02:26,944	| 0eddbbdc-5dc4-4cf1-a828-f99118abdf57_f5d8d00104a881186f499ff622e84911 |	But yeah I edited the guide the last 2 years
EDL	00:02:26,944	00:02:27,456	| 0eddbbdc-5dc4-4cf1-a828-f99118abdf57_f5d8d00104a881186f499ff622e84911 |	Send
