EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:02,304	00:00:08,448	| AMA_Hans_Tung_on_Breaking_into_VC_and_Other_Questions_from_Listeners |	50 Cent
EDL	00:00:15,104	00:00:19,200	| AMA_Hans_Tung_on_Breaking_into_VC_and_Other_Questions_from_Listeners |	Hi there
EDL	00:00:19,200	00:00:20,992	| AMA_Hans_Tung_on_Breaking_into_VC_and_Other_Questions_from_Listeners |	Welcome to the -6 podcast
EDL	00:00:20,992	00:00:23,552	| AMA_Hans_Tung_on_Breaking_into_VC_and_Other_Questions_from_Listeners |	Brought to you by GE Capital under show
EDL	00:00:23,552	00:00:25,088	| AMA_Hans_Tung_on_Breaking_into_VC_and_Other_Questions_from_Listeners |	Went to the movers and shakers
EDL	00:00:25,088	00:00:29,952	| AMA_Hans_Tung_on_Breaking_into_VC_and_Other_Questions_from_Listeners |	China's tech industry and discuss how Founders from around the world can draw that stands
EDL	00:00:29,952	00:00:32,768	| AMA_Hans_Tung_on_Breaking_into_VC_and_Other_Questions_from_Listeners |	I'm fine Aztec ecosystem
EDL	00:00:32,768	00:00:37,632	| AMA_Hans_Tung_on_Breaking_into_VC_and_Other_Questions_from_Listeners |	I'm a managing partner at GTB capital and I've been working at and investing in startups
EDL	00:00:37,632	00:00:38,656	| AMA_Hans_Tung_on_Breaking_into_VC_and_Other_Questions_from_Listeners |	Across the US
EDL	00:00:38,656	00:00:45,056	| AMA_Hans_Tung_on_Breaking_into_VC_and_Other_Questions_from_Listeners |	China and other emerging markets for the last 20 years
EDL	00:00:45,056	00:00:46,336	| AMA_Hans_Tung_on_Breaking_into_VC_and_Other_Questions_from_Listeners |	And a former journalist
EDL	00:00:46,336	00:00:48,128	| AMA_Hans_Tung_on_Breaking_into_VC_and_Other_Questions_from_Listeners |	Why is the show called 96
EDL	00:00:48,128	00:00:52,224	| AMA_Hans_Tung_on_Breaking_into_VC_and_Other_Questions_from_Listeners |	96 is the work schedule and many Chinese Founders that organically adopted
EDL	00:00:52,224	00:00:58,624	| AMA_Hans_Tung_on_Breaking_into_VC_and_Other_Questions_from_Listeners |	That is 9 a.m. to 9 p.m. 6 days a week
EDL	00:00:58,624	00:01:02,720	| AMA_Hans_Tung_on_Breaking_into_VC_and_Other_Questions_from_Listeners |	Chinese internet companies Miracles over last decade
EDL	00:01:02,720	00:01:07,072	| AMA_Hans_Tung_on_Breaking_into_VC_and_Other_Questions_from_Listeners |	Also I highly recommend joining our listeners WeChat groups in slack Channel
EDL	00:01:07,072	00:01:13,472	| AMA_Hans_Tung_on_Breaking_into_VC_and_Other_Questions_from_Listeners |	Where you can connect with like-minded people interested in Tech in China we organize regular offline events across the world for a while
EDL	00:01:13,472	00:01:19,616	| AMA_Hans_Tung_on_Breaking_into_VC_and_Other_Questions_from_Listeners |	You can join these by visiting 96.2 gvtc.com
EDL	00:01:19,616	00:01:21,664	| AMA_Hans_Tung_on_Breaking_into_VC_and_Other_Questions_from_Listeners |	Hi everyone today I'm very excited
EDL	00:01:21,664	00:01:26,016	| AMA_Hans_Tung_on_Breaking_into_VC_and_Other_Questions_from_Listeners |	Two hoes are special Ama or ask me anything episode with our managing partner hanstone
EDL	00:01:26,016	00:01:29,344	| AMA_Hans_Tung_on_Breaking_into_VC_and_Other_Questions_from_Listeners |	Was here with me to answer questions from followers of the 96 pack
EDL	00:01:30,112	00:01:36,512	| AMA_Hans_Tung_on_Breaking_into_VC_and_Other_Questions_from_Listeners |	So we announces anime a couple weeks ago and caught on our listeners to submit questions and have since they receive a lot of
EDL	00:01:36,512	00:01:38,304	| AMA_Hans_Tung_on_Breaking_into_VC_and_Other_Questions_from_Listeners |	Great questions on all kinds of topics
EDL	00:01:38,816	00:01:42,912	| AMA_Hans_Tung_on_Breaking_into_VC_and_Other_Questions_from_Listeners |	So I apologize in advance if we don't get your question since we have limited time here
EDL	00:01:42,912	00:01:43,936	| AMA_Hans_Tung_on_Breaking_into_VC_and_Other_Questions_from_Listeners |	The first
EDL	00:01:43,936	00:01:45,472	| AMA_Hans_Tung_on_Breaking_into_VC_and_Other_Questions_from_Listeners |	Just a little bit of background on Hannah
EDL	00:01:45,984	00:01:50,848	| AMA_Hans_Tung_on_Breaking_into_VC_and_Other_Questions_from_Listeners |	Those of you who regularly listen to our show should know quite a bit about him already but anyways
EDL	00:01:50,848	00:01:57,248	| AMA_Hans_Tung_on_Breaking_into_VC_and_Other_Questions_from_Listeners |	Igtv he focuses on investments in consumer internet e-commerce and iot sectors across the US China and other
EDL	00:01:57,248	00:01:57,760	| AMA_Hans_Tung_on_Breaking_into_VC_and_Other_Questions_from_Listeners |	Emerging Markets
EDL	00:01:58,272	00:02:02,112	| AMA_Hans_Tung_on_Breaking_into_VC_and_Other_Questions_from_Listeners |	He's invested in 11 unicorn companies that over a billion dollars
EDL	00:02:02,112	00:02:03,392	| AMA_Hans_Tung_on_Breaking_into_VC_and_Other_Questions_from_Listeners |	Including xiaomi
EDL	00:02:03,392	00:02:06,464	| AMA_Hans_Tung_on_Breaking_into_VC_and_Other_Questions_from_Listeners |	Wish musically now part 2 by dance Airbnb
EDL	00:02:06,464	00:02:08,768	| AMA_Hans_Tung_on_Breaking_into_VC_and_Other_Questions_from_Listeners |	Songs for little red book OfferUp etcetera
EDL	00:02:09,280	00:02:11,584	| AMA_Hans_Tung_on_Breaking_into_VC_and_Other_Questions_from_Listeners |	He grew up in Taiwan and move to LA
EDL	00:02:11,584	00:02:15,424	| AMA_Hans_Tung_on_Breaking_into_VC_and_Other_Questions_from_Listeners |	His worker left in New York Boston Hong Kong Singapore
EDL	00:02:15,424	00:02:16,704	| AMA_Hans_Tung_on_Breaking_into_VC_and_Other_Questions_from_Listeners |	Shanghai Beijing
EDL	00:02:16,704	00:02:17,984	| AMA_Hans_Tung_on_Breaking_into_VC_and_Other_Questions_from_Listeners |	And the Bay Area
EDL	00:02:17,984	00:02:22,848	| AMA_Hans_Tung_on_Breaking_into_VC_and_Other_Questions_from_Listeners |	He's now based in Menlo Park but it's basically on a play every other day so welcome to the show
EDL	00:02:23,360	00:02:24,128	| AMA_Hans_Tung_on_Breaking_into_VC_and_Other_Questions_from_Listeners |	Thank you Zara
EDL	00:02:24,128	00:02:30,528	| AMA_Hans_Tung_on_Breaking_into_VC_and_Other_Questions_from_Listeners |	So first I was kind of surprised but also not surprised that around half of all people who submit a question is wrote down
EDL	00:02:30,528	00:02:31,552	| AMA_Hans_Tung_on_Breaking_into_VC_and_Other_Questions_from_Listeners |	The same question
EDL	00:02:31,552	00:02:33,344	| AMA_Hans_Tung_on_Breaking_into_VC_and_Other_Questions_from_Listeners |	How do you break into VC
EDL	00:02:33,344	00:02:35,136	| AMA_Hans_Tung_on_Breaking_into_VC_and_Other_Questions_from_Listeners |	So let's first address this
EDL	00:02:35,136	00:02:37,696	| AMA_Hans_Tung_on_Breaking_into_VC_and_Other_Questions_from_Listeners |	Burning question that a lot of people seem to have
EDL	00:02:37,696	00:02:38,208	| AMA_Hans_Tung_on_Breaking_into_VC_and_Other_Questions_from_Listeners |	On their mind
EDL	00:02:38,976	00:02:40,512	| AMA_Hans_Tung_on_Breaking_into_VC_and_Other_Questions_from_Listeners |	Sure I did not
EDL	00:02:40,512	00:02:42,304	| AMA_Hans_Tung_on_Breaking_into_VC_and_Other_Questions_from_Listeners |	Starting BC of right off of college
EDL	00:02:42,816	00:02:44,864	| AMA_Hans_Tung_on_Breaking_into_VC_and_Other_Questions_from_Listeners |	I was very fortunate to
EDL	00:02:44,864	00:02:46,912	| AMA_Hans_Tung_on_Breaking_into_VC_and_Other_Questions_from_Listeners |	In a class of 1990
EDL	00:02:46,912	00:02:47,424	| AMA_Hans_Tung_on_Breaking_into_VC_and_Other_Questions_from_Listeners |	Free
EDL	00:02:48,704	00:02:49,472	| AMA_Hans_Tung_on_Breaking_into_VC_and_Other_Questions_from_Listeners |	So
EDL	00:02:49,472	00:02:51,776	| AMA_Hans_Tung_on_Breaking_into_VC_and_Other_Questions_from_Listeners |	That was a year. Netscape browser
EDL	00:02:51,776	00:02:52,544	| AMA_Hans_Tung_on_Breaking_into_VC_and_Other_Questions_from_Listeners |	What's the least
EDL	00:02:53,312	00:02:54,848	| AMA_Hans_Tung_on_Breaking_into_VC_and_Other_Questions_from_Listeners |	And the world become a very different
EDL	00:02:55,360	00:02:56,128	| AMA_Hans_Tung_on_Breaking_into_VC_and_Other_Questions_from_Listeners |	Place thereafter
EDL	00:02:56,640	00:02:59,200	| AMA_Hans_Tung_on_Breaking_into_VC_and_Other_Questions_from_Listeners |	I think Peter Thiel was a couple years ahead of me
EDL	00:02:59,712	00:03:01,760	| AMA_Hans_Tung_on_Breaking_into_VC_and_Other_Questions_from_Listeners |	In Nigerian was a year behind me
EDL	00:03:03,040	00:03:05,600	| AMA_Hans_Tung_on_Breaking_into_VC_and_Other_Questions_from_Listeners |	And so that was that was the right time
EDL	00:03:05,600	00:03:07,136	| AMA_Hans_Tung_on_Breaking_into_VC_and_Other_Questions_from_Listeners |	How to be an internet business
EDL	00:03:07,648	00:03:09,184	| AMA_Hans_Tung_on_Breaking_into_VC_and_Other_Questions_from_Listeners |	But I didn't know anything about BC back then
EDL	00:03:09,696	00:03:11,488	| AMA_Hans_Tung_on_Breaking_into_VC_and_Other_Questions_from_Listeners |	I start my career in banking
EDL	00:03:11,488	00:03:12,512	| AMA_Hans_Tung_on_Breaking_into_VC_and_Other_Questions_from_Listeners |	In New York
EDL	00:03:12,512	00:03:13,536	| AMA_Hans_Tung_on_Breaking_into_VC_and_Other_Questions_from_Listeners |	And then Hong Kong
EDL	00:03:14,048	00:03:15,840	| AMA_Hans_Tung_on_Breaking_into_VC_and_Other_Questions_from_Listeners |	Let's spend the next 5 years
EDL	00:03:16,864	00:03:18,912	| AMA_Hans_Tung_on_Breaking_into_VC_and_Other_Questions_from_Listeners |	Through Hong Kong Taipei in Singapore
EDL	00:03:18,912	00:03:20,704	| AMA_Hans_Tung_on_Breaking_into_VC_and_Other_Questions_from_Listeners |	Tech-related gross
EDL	00:03:21,728	00:03:25,824	| AMA_Hans_Tung_on_Breaking_into_VC_and_Other_Questions_from_Listeners |	Basically investing companies that were trying to do country Manufacturing
EDL	00:03:25,824	00:03:27,616	| AMA_Hans_Tung_on_Breaking_into_VC_and_Other_Questions_from_Listeners |	Semiconductor chip design
EDL	00:03:27,616	00:03:30,688	| AMA_Hans_Tung_on_Breaking_into_VC_and_Other_Questions_from_Listeners |	Internet was not a big focus at that point in time
EDL	00:03:31,200	00:03:33,760	| AMA_Hans_Tung_on_Breaking_into_VC_and_Other_Questions_from_Listeners |	And then run around 1999
EDL	00:03:33,760	00:03:36,576	| AMA_Hans_Tung_on_Breaking_into_VC_and_Other_Questions_from_Listeners |	The group of Ivy Leagues and stuff for graduates got together
EDL	00:03:37,856	00:03:39,648	| AMA_Hans_Tung_on_Breaking_into_VC_and_Other_Questions_from_Listeners |	2 * 2 startups
EDL	00:03:39,648	00:03:40,928	| AMA_Hans_Tung_on_Breaking_into_VC_and_Other_Questions_from_Listeners |	One after the other
EDL	00:03:40,928	00:03:41,696	| AMA_Hans_Tung_on_Breaking_into_VC_and_Other_Questions_from_Listeners |	And both know for intern
EDL	00:03:42,208	00:03:46,048	| AMA_Hans_Tung_on_Breaking_into_VC_and_Other_Questions_from_Listeners |	And not remind me a lot of love what people are doing about blockchain
EDL	00:03:46,048	00:03:47,072	| AMA_Hans_Tung_on_Breaking_into_VC_and_Other_Questions_from_Listeners |	Cryptocurrency
EDL	00:03:47,584	00:03:48,352	| AMA_Hans_Tung_on_Breaking_into_VC_and_Other_Questions_from_Listeners |	Today
EDL	00:03:48,352	00:03:49,120	| AMA_Hans_Tung_on_Breaking_into_VC_and_Other_Questions_from_Listeners |	It's very similar
EDL	00:03:49,632	00:03:52,192	| AMA_Hans_Tung_on_Breaking_into_VC_and_Other_Questions_from_Listeners |	And I think if I didn't have that Starbucks.
EDL	00:03:52,704	00:03:54,240	| AMA_Hans_Tung_on_Breaking_into_VC_and_Other_Questions_from_Listeners |	I probably wouldn't know
EDL	00:03:54,240	00:03:55,264	| AMA_Hans_Tung_on_Breaking_into_VC_and_Other_Questions_from_Listeners |	I will be
EDL	00:03:55,264	00:03:56,288	| AMA_Hans_Tung_on_Breaking_into_VC_and_Other_Questions_from_Listeners |	Very interested
EDL	00:03:56,288	00:03:57,056	| AMA_Hans_Tung_on_Breaking_into_VC_and_Other_Questions_from_Listeners |	Entrepreneurship
EDL	00:03:57,568	00:03:58,336	| AMA_Hans_Tung_on_Breaking_into_VC_and_Other_Questions_from_Listeners |	Just NASA founder
EDL	00:03:58,848	00:04:00,896	| AMA_Hans_Tung_on_Breaking_into_VC_and_Other_Questions_from_Listeners |	Better suited as an ambassador
EDL	00:04:00,896	00:04:04,736	| AMA_Hans_Tung_on_Breaking_into_VC_and_Other_Questions_from_Listeners |	Combining my banking and micro Capital Investments parents
EDL	00:04:04,736	00:04:06,016	| AMA_Hans_Tung_on_Breaking_into_VC_and_Other_Questions_from_Listeners |	With my appreciation
