EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:00,256	00:00:01,536	| 31a37d5f-f1d5-45ec-a273-12c965a186e8_26c3f72fdece550d4ed3e34d16c9e7df |	Or walking to Defcon
EDL	00:00:01,536	00:00:02,304	| 31a37d5f-f1d5-45ec-a273-12c965a186e8_26c3f72fdece550d4ed3e34d16c9e7df |	What can we expect
EDL	00:00:03,328	00:00:05,888	| 31a37d5f-f1d5-45ec-a273-12c965a186e8_26c3f72fdece550d4ed3e34d16c9e7df |	So we're here at Defcon 27
EDL	00:00:06,656	00:00:10,240	| 31a37d5f-f1d5-45ec-a273-12c965a186e8_26c3f72fdece550d4ed3e34d16c9e7df |	The 27th edition of was probably the biggest
EDL	00:00:12,288	00:00:13,056	| 31a37d5f-f1d5-45ec-a273-12c965a186e8_26c3f72fdece550d4ed3e34d16c9e7df |	Maybe wear this
EDL	00:00:13,824	00:00:14,848	| 31a37d5f-f1d5-45ec-a273-12c965a186e8_26c3f72fdece550d4ed3e34d16c9e7df |	I can conference in the world
EDL	00:00:15,616	00:00:18,176	| 31a37d5f-f1d5-45ec-a273-12c965a186e8_26c3f72fdece550d4ed3e34d16c9e7df |	There should be 25000 30
EDL	00:00:18,176	00:00:18,944	| 31a37d5f-f1d5-45ec-a273-12c965a186e8_26c3f72fdece550d4ed3e34d16c9e7df |	Thousand people here
EDL	00:00:19,712	00:00:21,248	| 31a37d5f-f1d5-45ec-a273-12c965a186e8_26c3f72fdece550d4ed3e34d16c9e7df |	For the weekend
EDL	00:00:21,248	00:00:23,552	| 31a37d5f-f1d5-45ec-a273-12c965a186e8_26c3f72fdece550d4ed3e34d16c9e7df |	You are sounding way more enthusiastic than
EDL	00:00:23,552	00:00:24,320	| 31a37d5f-f1d5-45ec-a273-12c965a186e8_26c3f72fdece550d4ed3e34d16c9e7df |	Think your face yes
EDL	00:00:26,368	00:00:27,136	| 31a37d5f-f1d5-45ec-a273-12c965a186e8_26c3f72fdece550d4ed3e34d16c9e7df |	Should I start again
EDL	00:00:49,920	00:00:50,944	| 31a37d5f-f1d5-45ec-a273-12c965a186e8_26c3f72fdece550d4ed3e34d16c9e7df |	Virus
EDL	00:00:51,712	00:00:52,480	| 31a37d5f-f1d5-45ec-a273-12c965a186e8_26c3f72fdece550d4ed3e34d16c9e7df |	Eagle One
EDL	00:00:52,480	00:00:58,880	| 31a37d5f-f1d5-45ec-a273-12c965a186e8_26c3f72fdece550d4ed3e34d16c9e7df |	The package being delivered hackers spy
EDL	00:00:58,880	00:01:05,024	| 31a37d5f-f1d5-45ec-a273-12c965a186e8_26c3f72fdece550d4ed3e34d16c9e7df |	Eyes cops Silicon Valley Bros technologists and even politicians descend upon Las Vegas Nevada
EDL	00:01:05,536	00:01:06,560	| 31a37d5f-f1d5-45ec-a273-12c965a186e8_26c3f72fdece550d4ed3e34d16c9e7df |	Would become
