EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:00,512	00:00:03,328	| 20180302_pmoney_pmpod828-87696113-2458-4435-a59c-979d8fc32933.mp3_20c18ff8de07e45bf97fe91f09b5c939_22260049 |	Do you have economic questions rattling around in your head
EDL	00:00:03,328	00:00:04,352	| 20180302_pmoney_pmpod828-87696113-2458-4435-a59c-979d8fc32933.mp3_20c18ff8de07e45bf97fe91f09b5c939_22260049 |	Driving you nuts
EDL	00:00:04,352	00:00:06,144	| 20180302_pmoney_pmpod828-87696113-2458-4435-a59c-979d8fc32933.mp3_20c18ff8de07e45bf97fe91f09b5c939_22260049 |	Keeping you awake at night
EDL	00:00:06,144	00:00:07,424	| 20180302_pmoney_pmpod828-87696113-2458-4435-a59c-979d8fc32933.mp3_20c18ff8de07e45bf97fe91f09b5c939_22260049 |	You tried shutting me out a window
EDL	00:00:08,192	00:00:09,984	| 20180302_pmoney_pmpod828-87696113-2458-4435-a59c-979d8fc32933.mp3_20c18ff8de07e45bf97fe91f09b5c939_22260049 |	Hotel rooms
EDL	00:00:11,776	00:00:12,288	| 20180302_pmoney_pmpod828-87696113-2458-4435-a59c-979d8fc32933.mp3_20c18ff8de07e45bf97fe91f09b5c939_22260049 |	But nobody answer
EDL	00:00:12,800	00:00:14,592	| 20180302_pmoney_pmpod828-87696113-2458-4435-a59c-979d8fc32933.mp3_20c18ff8de07e45bf97fe91f09b5c939_22260049 |	Your phone doesn't know what you're talkin about
EDL	00:00:15,104	00:00:17,152	| 20180302_pmoney_pmpod828-87696113-2458-4435-a59c-979d8fc32933.mp3_20c18ff8de07e45bf97fe91f09b5c939_22260049 |	Why are rotisserie chickens so cheap
EDL	00:00:17,664	00:00:19,712	| 20180302_pmoney_pmpod828-87696113-2458-4435-a59c-979d8fc32933.mp3_20c18ff8de07e45bf97fe91f09b5c939_22260049 |	I can help you find restaurants if you turn on the
EDL	00:00:20,992	00:00:23,040	| 20180302_pmoney_pmpod828-87696113-2458-4435-a59c-979d8fc32933.mp3_20c18ff8de07e45bf97fe91f09b5c939_22260049 |	Hey Google who has the time anymore
EDL	00:00:23,040	00:00:24,576	| 20180302_pmoney_pmpod828-87696113-2458-4435-a59c-979d8fc32933.mp3_20c18ff8de07e45bf97fe91f09b5c939_22260049 |	Why are
