EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:00,256	00:00:01,024	| 20180202_hibt_melissa-eac808e4-aa33-471b-a693-e5ce00167131.mp3_4386c2b08463c488d0ef687f0e8e7304_37942094 |	Support for this in
EDL	00:00:01,024	00:00:02,048	| 20180202_hibt_melissa-eac808e4-aa33-471b-a693-e5ce00167131.mp3_4386c2b08463c488d0ef687f0e8e7304_37942094 |	NPR Podcast
EDL	00:00:02,048	00:00:02,816	| 20180202_hibt_melissa-eac808e4-aa33-471b-a693-e5ce00167131.mp3_4386c2b08463c488d0ef687f0e8e7304_37942094 |	In the following message
EDL	00:00:02,816	00:00:04,864	| 20180202_hibt_melissa-eac808e4-aa33-471b-a693-e5ce00167131.mp3_4386c2b08463c488d0ef687f0e8e7304_37942094 |	Did come from VSP individual Vision play
EDL	00:00:05,376	00:00:07,424	| 20180202_hibt_melissa-eac808e4-aa33-471b-a693-e5ce00167131.mp3_4386c2b08463c488d0ef687f0e8e7304_37942094 |	Entrepreneurs innovators and creators
EDL	00:00:07,936	00:00:09,728	| 20180202_hibt_melissa-eac808e4-aa33-471b-a693-e5ce00167131.mp3_4386c2b08463c488d0ef687f0e8e7304_37942094 |	Stop overpaying for eye exam
EDL	00:00:09,728	00:00:10,752	| 20180202_hibt_melissa-eac808e4-aa33-471b-a693-e5ce00167131.mp3_4386c2b08463c488d0ef687f0e8e7304_37942094 |	Sam's and Quality Glass
EDL	00:00:11,264	00:00:13,056	| 20180202_hibt_melissa-eac808e4-aa33-471b-a693-e5ce00167131.mp3_4386c2b08463c488d0ef687f0e8e7304_37942094 |	You can buy vision coverage on your own
EDL	00:00:13,568	00:00:16,128	| 20180202_hibt_melissa-eac808e4-aa33-471b-a693-e5ce00167131.mp3_4386c2b08463c488d0ef687f0e8e7304_37942094 |	Learn more at need VSP coverage.
EDL	00:00:18,176	00:00:19,456	| 20180202_hibt_melissa-eac808e4-aa33-471b-a693-e5ce00167131.mp3_4386c2b08463c488d0ef687f0e8e7304_37942094 |	It's got here
EDL	00:00:19,456	00:00:20,992	| 20180202_hibt_melissa-eac808e4-aa33-471b-a693-e5ce00167131.mp3_4386c2b08463c488d0ef687f0e8e7304_37942094 |	Took Melissa & Doug Bernstein
EDL	00:00:20,992	00:00:22,528	| 20180202_hibt_melissa-eac808e4-aa33-471b-a693-e5ce00167131.mp3_4386c2b08463c488d0ef687f0e8e7304_37942094 |	Originally planned to make
EDL	00:00:23,040	00:00:24,064	| 20180202_hibt_melissa-eac808e4-aa33-471b-a693-e5ce00167131.mp3_4386c2b08463c488d0ef687f0e8e7304_37942094 |	Educational videos
EDL	00:00:24,064	00:00:24,832	| 20180202_hibt_melissa-eac808e4-aa33-471b-a693-e5ce00167131.mp3_4386c2b08463c488d0ef687f0e8e7304_37942094 |	For kids
EDL	00:00:24,832	00:00:26,112	| 20180202_hibt_melissa-eac808e4-aa33-471b-a693-e5ce00167131.mp3_4386c2b08463c488d0ef687f0e8e7304_37942094 |	But when that plan
EDL	00:00:26,112	00:00:27,136	| 20180202_hibt_melissa-eac808e4-aa33-471b-a693-e5ce00167131.mp3_4386c2b08463c488d0ef687f0e8e7304_37942094 |	Didn't quite work out
