EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:01,024	00:00:03,840	| 99pi-0260-newjersey-1 |	99percentinvisible is brought to you by Progressive
EDL	00:00:03,840	00:00:06,144	| 99pi-0260-newjersey-1 |	One of the country's leading providers of Auto insurer
EDL	00:00:06,912	00:00:08,960	| 99pi-0260-newjersey-1 |	With progressives Name Your Price tool
EDL	00:00:08,960	00:00:12,544	| 99pi-0260-newjersey-1 |	You can say what kind of coverage were looking for and how much you want to pay
EDL	00:00:12,544	00:00:14,336	| 99pi-0260-newjersey-1 |	Progressive will show you options.
EDL	00:00:14,336	00:00:15,104	| 99pi-0260-newjersey-1 |	Fit within your budget
EDL	00:00:15,616	00:00:18,944	| 99pi-0260-newjersey-1 |	Use the Name Your Price tool and start an online quote today
EDL	00:00:18,944	00:00:19,968	| 99pi-0260-newjersey-1 |	Progressive.com
EDL	00:00:20,480	00:00:22,784	| 99pi-0260-newjersey-1 |	Price and coverage match limited by state law
EDL	00:00:24,832	00:00:25,600	| 99pi-0260-newjersey-1 |	Family ghosts
EDL	00:00:25,600	00:00:31,232	| 99pi-0260-newjersey-1 |	Is a podcast explores all the unexpected ways our family structure and shape our view of the world
EDL	00:00:31,744	00:00:33,024	| 99pi-0260-newjersey-1 |	Each episode of Family Guy
EDL	00:00:33,536	00:00:37,376	| 99pi-0260-newjersey-1 |	Takes a look at the story behind a different person's family lore
EDL	00:00:37,376	00:00:39,936	| 99pi-0260-newjersey-1 |	Digging into unanswered questions about their history
EDL	00:00:40,448	00:00:42,752	| 99pi-0260-newjersey-1 |	Season 2 Launches on May 15th
EDL	00:00:42,752	00:00:46,080	| 99pi-0260-newjersey-1 |	Between episode where they take you inside the love Israel family called
EDL	00:00:46,080	00:00:50,432	| 99pi-0260-newjersey-1 |	An episode about uncovering the secret scroll in a newly discovered stack of Love Letters
EDL	00:00:50,944	00:00:57,344	| 99pi-0260-newjersey-1 |	Episode that brings you along for the hunt for a container of missing Chinese food that's haunted a family Ford
EDL	00:00:57,344	00:00:58,368	| 99pi-0260-newjersey-1 |	25 years
EDL	00:00:58,368	00:00:58,880	| 99pi-0260-newjersey-1 |	And more
EDL	00:00:59,392	00:01:03,232	| 99pi-0260-newjersey-1 |	Subscribe to family goes to wherever you get your podcast and find out why they say
EDL	00:01:03,744	00:01:04,768	| 99pi-0260-newjersey-1 |	Every house is haunted
EDL	00:01:05,792	00:01:07,840	| 99pi-0260-newjersey-1 |	This is 99% invisible
EDL	00:01:07,840	00:01:08,864	| 99pi-0260-newjersey-1 |	I'm Roman Mars
EDL	00:01:14,752	00:01:21,152	| 99pi-0260-newjersey-1 |	What do Brazilian soccer player scores a goal
EDL	00:01:21,152	00:01:24,224	| 99pi-0260-newjersey-1 |	Start slow
EDL	00:01:24,224	00:01:30,368	| 99pi-0260-newjersey-1 |	And it builds until it reaches a glorious crescendo
EDL	00:01:36,256	00:01:38,560	| 99pi-0260-newjersey-1 |	They do this all over the world now
EDL	00:01:38,560	00:01:40,352	| 99pi-0260-newjersey-1 |	But it started in Brazil
EDL	00:01:40,352	00:01:43,680	| 99pi-0260-newjersey-1 |	And there's something particularly triumphant about today
EDL	00:01:43,680	00:01:45,216	| 99pi-0260-newjersey-1 |	That's producer Joe Sykes
EDL	00:01:45,984	00:01:48,544	| 99pi-0260-newjersey-1 |	That's what is soccer means so much
EDL	00:01:48,544	00:01:49,056	| 99pi-0260-newjersey-1 |	Brazil
EDL	00:01:49,824	00:01:55,712	| 99pi-0260-newjersey-1 |	How can I explain what soccer means to Brazilians without sounding corny but I think I'm going to have to sound corny okay
EDL	00:01:55,712	00:01:57,504	| 99pi-0260-newjersey-1 |	That's Fernando Duarte
EDL	00:01:57,504	00:02:00,576	| 99pi-0260-newjersey-1 |	A BBC journalist who wrote a book about Brazilian soccer
EDL	00:02:01,344	00:02:04,416	| 99pi-0260-newjersey-1 |	Soccer or football as I cool it being British
EDL	00:02:04,928	00:02:07,488	| 99pi-0260-newjersey-1 |	Arrived in Brazil in the late 19th century
EDL	00:02:08,256	00:02:10,560	| 99pi-0260-newjersey-1 |	At first it was a game played in Elite Circle
EDL	00:02:11,840	00:02:14,400	| 99pi-0260-newjersey-1 |	But poor and working-class Brazilians
EDL	00:02:14,400	00:02:15,936	| 99pi-0260-newjersey-1 |	Struggle to make the game that right
EDL	00:02:16,448	00:02:17,216	| 99pi-0260-newjersey-1 |	The only time
EDL	00:02:18,240	00:02:19,520	| 99pi-0260-newjersey-1 |	The elites were
EDL	00:02:19,520	00:02:21,824	| 99pi-0260-newjersey-1 |	Robbed while they were deprived of something
EDL	00:02:21,824	00:02:23,360	| 99pi-0260-newjersey-1 |	By the poor people by the
EDL	00:02:23,360	00:02:23,872	| 99pi-0260-newjersey-1 |	Kung fu
EDL	00:02:24,640	00:02:25,920	| 99pi-0260-newjersey-1 |	Israel football season
