EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:00,256	00:00:06,656	| moreperfect062618_americanpendulumreprise |	Listener-supported WNYC
EDL	00:00:06,656	00:00:07,424	| moreperfect062618_americanpendulumreprise |	Be Studios
EDL	00:00:14,592	00:00:15,872	| moreperfect062618_americanpendulumreprise |	A more perfect people
EDL	00:00:16,640	00:00:18,944	| moreperfect062618_americanpendulumreprise |	I know you haven't heard from us in a while
EDL	00:00:18,944	00:00:22,784	| moreperfect062618_americanpendulumreprise |	A new season is on its way it's going to be a very interesting special different
EDL	00:00:23,296	00:00:25,600	| moreperfect062618_americanpendulumreprise |	Kind of situation for us than the first two seasons
EDL	00:00:27,136	00:00:28,928	| moreperfect062618_americanpendulumreprise |	Will dropping by today because
EDL	00:00:29,440	00:00:33,024	| moreperfect062618_americanpendulumreprise |	Supreme Court is made of hard came up with a really big controversial
EDL	00:00:33,024	00:00:33,536	| moreperfect062618_americanpendulumreprise |	Decision
EDL	00:00:34,560	00:00:36,352	| moreperfect062618_americanpendulumreprise |	Court upheld President Trump's travel ban
EDL	00:00:37,888	00:00:39,680	| moreperfect062618_americanpendulumreprise |	It was a split decision 5 to 4
EDL	00:00:40,448	00:00:41,728	| moreperfect062618_americanpendulumreprise |	Like so many decisions these days
EDL	00:00:42,240	00:00:43,264	| moreperfect062618_americanpendulumreprise |	But both sides
EDL	00:00:44,032	00:00:49,152	| moreperfect062618_americanpendulumreprise |	Name dropped this one particular Supreme Court case from back in 1944 at the korematsu
EDL	00:00:49,664	00:00:50,176	| moreperfect062618_americanpendulumreprise |	Decision
EDL	00:00:51,200	00:00:51,968	| moreperfect062618_americanpendulumreprise |	The majority
EDL	00:00:52,736	00:00:56,064	| moreperfect062618_americanpendulumreprise |	Said korematsu's got nothing to do with the travel ban The Descent
EDL	00:00:56,832	00:00:57,600	| moreperfect062618_americanpendulumreprise |	Sad
EDL	00:00:57,600	00:00:58,368	| moreperfect062618_americanpendulumreprise |	Yeah it does
EDL	00:00:59,392	00:01:05,024	| moreperfect062618_americanpendulumreprise |	This decision is just like korematsu the court now is using the same dangerous logic that use back then
EDL	00:01:05,024	00:01:05,792	| moreperfect062618_americanpendulumreprise |	If you
EDL	00:01:06,304	00:01:07,072	| moreperfect062618_americanpendulumreprise |	Haven't already
EDL	00:01:08,608	00:01:10,144	| moreperfect062618_americanpendulumreprise |	You can meet korematsu for yourself
EDL	00:01:10,912	00:01:17,312	| moreperfect062618_americanpendulumreprise |	We actually started off season 2 with this story from producer Julie Longoria that takes a look the korematsu
EDL	00:01:17,312	00:01:17,824	| moreperfect062618_americanpendulumreprise |	To decision
EDL	00:01:19,104	00:01:20,384	| moreperfect062618_americanpendulumreprise |	The guy behind it
EDL	00:01:23,200	00:01:24,736	| moreperfect062618_americanpendulumreprise |	In light of today's decision
EDL	00:01:25,760	00:01:26,528	| moreperfect062618_americanpendulumreprise |	It
EDL	00:01:27,040	00:01:28,064	| moreperfect062618_americanpendulumreprise |	My penis sting listen
EDL	00:01:28,832	00:01:30,624	| moreperfect062618_americanpendulumreprise |	Producer Julia Longoria start this off
EDL	00:01:35,232	00:01:41,376	| moreperfect062618_americanpendulumreprise |	The year is 1967 and the place
EDL	00:01:41,376	00:01:47,776	| moreperfect062618_americanpendulumreprise |	Is San Lorenzo High School in East Bay of California
EDL	00:01:47,776	00:01:50,848	| moreperfect062618_americanpendulumreprise |	And we're in a US History classroom
EDL	00:01:50,848	00:01:57,248	| moreperfect062618_americanpendulumreprise |	I was actually a junior in high school this is Karen korematsu I'm the executive
EDL	00:01:57,248	00:02:03,136	| moreperfect062618_americanpendulumreprise |	Director and founder of the Fred T korematsu Institute in San Francisco so on this particular day
EDL	00:02:03,136	00:02:08,256	| moreperfect062618_americanpendulumreprise |	Karen is sitting at the back of the classroom and our teacher had assigned each of
EDL	00:02:09,024	00:02:15,424	| moreperfect062618_americanpendulumreprise |	My classmates a little paperback book to read you know books about American history government in the US
EDL	00:02:15,424	00:02:16,192	| moreperfect062618_americanpendulumreprise |	Assignment was to
EDL	00:02:17,216	00:02:23,616	| moreperfect062618_americanpendulumreprise |	I get up in front of the class and give an oral book report that mean this is a long time ago so that's the way they used to do things
EDL	00:02:23,616	00:02:30,016	| moreperfect062618_americanpendulumreprise |	I don't even remember what my my book was are my subject but Karen said she was just sitting there and class list
EDL	00:02:30,016	00:02:32,832	| moreperfect062618_americanpendulumreprise |	Listening as one by one classmate Scott up
EDL	00:02:32,832	00:02:37,696	| moreperfect062618_americanpendulumreprise |	Talk about George Washington or Abraham Lincoln or whatever and then my friend
EDL	00:02:38,208	00:02:44,608	| moreperfect062618_americanpendulumreprise |	Maya who is Japanese-American 3rd Generation like myself got up in front of the class
EDL	00:02:44,608	00:02:48,192	| moreperfect062618_americanpendulumreprise |	And her book was called concentration camps USA
EDL	00:02:49,728	00:02:52,032	| moreperfect062618_americanpendulumreprise |	About the Japanese-American internment
EDL	00:02:53,568	00:02:54,592	| moreperfect062618_americanpendulumreprise |	And I thought
EDL	00:02:55,360	00:02:59,200	| moreperfect062618_americanpendulumreprise |	No that's interesting I hadn't heard about that before
EDL	00:02:59,200	00:03:00,224	| moreperfect062618_americanpendulumreprise |	What's that about
EDL	00:03:00,736	00:03:02,784	| moreperfect062618_americanpendulumreprise |	Am I his book report went something like this
EDL	00:03:02,784	00:03:09,184	| moreperfect062618_americanpendulumreprise |	In 1941 the United States of America was attacked
EDL	00:03:09,184	00:03:11,488	| moreperfect062618_americanpendulumreprise |	The president's president
EDL	00:03:11,488	00:03:17,888	| moreperfect062618_americanpendulumreprise |	Roosevelt had to respond
EDL	00:03:17,888	00:03:18,912	| moreperfect062618_americanpendulumreprise |	Broadband
EDL	00:03:18,912	00:03:20,192	| moreperfect062618_americanpendulumreprise |	So in terms of Defense
EDL	00:03:20,704	00:03:26,080	| moreperfect062618_americanpendulumreprise |	One of the big questions for Roosevelt was what happens if the Japanese invade the continental US
EDL	00:03:27,104	00:03:29,920	| moreperfect062618_americanpendulumreprise |	America's founding
EDL	00:03:29,920	00:03:31,968	| moreperfect062618_americanpendulumreprise |	They probably come in on the West Coast
EDL	00:03:32,480	00:03:36,832	| moreperfect062618_americanpendulumreprise |	And you had more than a hundred thousand Japanese-Americans living on the West Coast
