EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:00,256	00:00:01,536	| 20181003_pmoney_pmpod680rerun-a000dc8e-953a-4b39-994a-369230ca8bad.mp3_4b22a733a14d34cb9ab8daf7dd154412_21557614 |	Hey just a quick note
EDL	00:00:01,536	00:00:05,120	| 20181003_pmoney_pmpod680rerun-a000dc8e-953a-4b39-994a-369230ca8bad.mp3_4b22a733a14d34cb9ab8daf7dd154412_21557614 |	This episode originally ran in January 2016
EDL	00:00:05,120	00:00:07,424	| 20181003_pmoney_pmpod680rerun-a000dc8e-953a-4b39-994a-369230ca8bad.mp3_4b22a733a14d34cb9ab8daf7dd154412_21557614 |	It's reported by David kestenbaum and Audrey Quinn
EDL	00:00:08,192	00:00:10,240	| 20181003_pmoney_pmpod680rerun-a000dc8e-953a-4b39-994a-369230ca8bad.mp3_4b22a733a14d34cb9ab8daf7dd154412_21557614 |	For as long as I can remember I've seen these ads
EDL	00:00:10,752	00:00:12,800	| 20181003_pmoney_pmpod680rerun-a000dc8e-953a-4b39-994a-369230ca8bad.mp3_4b22a733a14d34cb9ab8daf7dd154412_21557614 |	I think the first one I saw was just on a telephone
EDL	00:00:13,312	00:00:14,848	| 20181003_pmoney_pmpod680rerun-a000dc8e-953a-4b39-994a-369230ca8bad.mp3_4b22a733a14d34cb9ab8daf7dd154412_21557614 |	Is a piece of paper stacked up
EDL	00:00:15,360	00:00:16,384	| 20181003_pmoney_pmpod680rerun-a000dc8e-953a-4b39-994a-369230ca8bad.mp3_4b22a733a14d34cb9ab8daf7dd154412_21557614 |	Say something like
EDL	00:00:16,384	00:00:18,176	| 20181003_pmoney_pmpod680rerun-a000dc8e-953a-4b39-994a-369230ca8bad.mp3_4b22a733a14d34cb9ab8daf7dd154412_21557614 |	You can work from home and get rich
EDL	00:00:18,688	00:00:19,712	| 20181003_pmoney_pmpod680rerun-a000dc8e-953a-4b39-994a-369230ca8bad.mp3_4b22a733a14d34cb9ab8daf7dd154412_21557614 |	Call this number
EDL	00:00:19,712	00:00:22,784	| 20181003_pmoney_pmpod680rerun-a000dc8e-953a-4b39-994a-369230ca8bad.mp3_4b22a733a14d34cb9ab8daf7dd154412_21557614 |	Is I remember there was a picture of a person wearing pajamas and there was a
EDL	00:00:23,808	00:00:27,648	| 20181003_pmoney_pmpod680rerun-a000dc8e-953a-4b39-994a-369230ca8bad.mp3_4b22a733a14d34cb9ab8daf7dd154412_21557614 |	Decide so now all over the Internet or even videos
EDL	00:00:27,648	00:00:28,672	| 20181003_pmoney_pmpod680rerun-a000dc8e-953a-4b39-994a-369230ca8bad.mp3_4b22a733a14d34cb9ab8daf7dd154412_21557614 |	This is one of my favorite
