EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:11,570	00:00:30,520	| VfD E21 Mr. Thousand Satellites |	Stuff technology, the internet, GPS in the column of your hand are tonight with technologies, a driver of our times since its founding a one thousand nine hundred and fifty eight, in the midst of the cold war, DARPA, the defence advanced research projects agency, has been a driver
EDL	00:00:31,680	00:00:40,030	| VfD E21 Mr. Thousand Satellites |	Welcome to Voices from DARPA a window onto dark as core of program managers, their job to redefine what is possible
EDL	00:00:40,600	00:00:43,250	| VfD E21 Mr. Thousand Satellites |	My name is, I have an motto, one of your doctor host
EDL	00:00:43,250	00:01:06,830	| VfD E21 Mr. Thousand Satellites |	And today I am pleased to have with me in the studio with the paul thomas, known since his day one as rusty, because he arrived in the world with since september twenty seventeen, rusty has been a program manager in the agency's tactical technology officers, which has a pension for pursuing all delicious vehicular technologies for the air, space and oceanic domains
EDL	00:01:06,830	00:01:20,257	| VfD E21 Mr. Thousand Satellites |	Already, russia has made his mission a doctor to do what he to develop new concept that will deliver more resilience, global reach and network to connectivity, by way of new space systems
EDL	00:01:20,257	00:01:31,560	| VfD E21 Mr. Thousand Satellites |	Rusty, join starbucks from decorate DAQRI, an organized this company, even though it doesn't like a cocktail where he served as the executive vice president for global operations
EDL	00:01:31,560	00:01:58,169	| VfD E21 Mr. Thousand Satellites |	He also held positions in a slew of commercial space companies, among them spaces and verbal sciences has been in on the design management of an amazing portfolio of space related programs, including the space x dragon spacecraft, the dark of micro satellite technology experiment, or my text, the original law earth or but satellite constellation and the US, air force jail sydney's space situational awareness program
EDL	00:01:58,169	00:02:13,320	| VfD E21 Mr. Thousand Satellites |	His initial training for all claim in the form of a master science degree in our space engineering from the university of texas, austin, and a bachelor of scientific degree in iran, astronaut engineering from, after I say, well, let me say to you
EDL	00:02:13,320	00:02:17,060	| VfD E21 Mr. Thousand Satellites |	Paul, rusty thomas, welcome to the Voices from the opportunity of thanks
EDL	00:02:17,060	00:02:18,160	| VfD E21 Mr. Thousand Satellites |	I was great to bear today
EDL	00:02:18,160	00:02:23,810	| VfD E21 Mr. Thousand Satellites |	Thank you for helping me before we get started on your life adventure, on the forefront of space technology
EDL	00:02:23,810	00:02:28,590	| VfD E21 Mr. Thousand Satellites |	I want nursing on something that will not come through in your voice or words
EDL	00:02:29,040	00:02:32,910	| VfD E21 Mr. Thousand Satellites |	At six feet, eight inches tall, you are among the toilets
EDL	00:02:32,910	00:02:36,490	| VfD E21 Mr. Thousand Satellites |	People at dark, though we are markedly not even the toilets
EDL	00:02:36,490	00:02:42,020	| VfD E21 Mr. Thousand Satellites |	It does make me wonder though, how you managed to fit into those seen shows when you were on the producer crew team
EDL	00:02:42,430	00:02:51,700	| VfD E21 Mr. Thousand Satellites |	And if your fuel costs, when you find your own paper to code, a plane are higher than it would be if a five foot ANGguy like me were the balance. 
EDL	00:02:51,700	00:02:55,840	| VfD E21 Mr. Thousand Satellites |	Well, yeah, so it does cause me a lot of pain on their planes these days
EDL	00:02:55,840	00:02:56,875	| VfD E21 Mr. Thousand Satellites |	That is, that is true
EDL	00:02:56,875	00:03:04,100	| VfD E21 Mr. Thousand Satellites |	But ottawa being taught was greater group in the game, and I learned to play basketball for some reasons, kind of good at it because of that
