EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:01,024	00:00:03,840	| 99pi-0245-theeponymist-1 |	99percentinvisible is brought to you by Progressive
EDL	00:00:03,840	00:00:06,144	| 99pi-0245-theeponymist-1 |	One of the country's leading providers of Auto insurer
EDL	00:00:06,656	00:00:08,960	| 99pi-0245-theeponymist-1 |	With progressives name Your Price tool
EDL	00:00:08,960	00:00:15,104	| 99pi-0245-theeponymist-1 |	You can say what kind of coverage were looking for and how much you want to pay and Progressive will show you options that fit within your budget
EDL	00:00:15,616	00:00:19,968	| 99pi-0245-theeponymist-1 |	Use the Name Your Price tool and start an online quote today at progressive.com
EDL	00:00:20,480	00:00:22,784	| 99pi-0245-theeponymist-1 |	Price in coverage match limited by state law
EDL	00:00:24,832	00:00:31,232	| 99pi-0245-theeponymist-1 |	Family ghosts in a podcast explores all the unexpected ways our family structure and shape our view of the
EDL	00:00:31,232	00:00:37,376	| 99pi-0245-theeponymist-1 |	The world each episode of Family ghosts takes a look at the story behind a different person's family lore
EDL	00:00:37,376	00:00:40,192	| 99pi-0245-theeponymist-1 |	Digging into unanswered questions about their history
EDL	00:00:40,192	00:00:42,752	| 99pi-0245-theeponymist-1 |	Season 2 Launches on May 15th
EDL	00:00:42,752	00:00:49,152	| 99pi-0245-theeponymist-1 |	Between episode where they take you inside the love Israel family called an episode about uncovering the secrets scrolled an annuity
EDL	00:00:49,152	00:00:50,688	| 99pi-0245-theeponymist-1 |	Who discovered stack of Love Letters
EDL	00:00:50,688	00:00:57,088	| 99pi-0245-theeponymist-1 |	Episode that brings you along to the hunt for a container of missing Chinese food that's haunted a family
EDL	00:00:57,088	00:00:59,392	| 99pi-0245-theeponymist-1 |	For 25 years and more
EDL	00:00:59,392	00:01:03,232	| 99pi-0245-theeponymist-1 |	The proud family goes to wherever you get your podcast and find out why they say
EDL	00:01:03,744	00:01:04,768	| 99pi-0245-theeponymist-1 |	Every house is haunted
EDL	00:01:05,792	00:01:07,328	| 99pi-0245-theeponymist-1 |	This is 99% invisible
EDL	00:01:07,840	00:01:08,608	| 99pi-0245-theeponymist-1 |	I'm Roman Mars
EDL	00:01:15,008	00:01:17,312	| 99pi-0245-theeponymist-1 |	Is a show about language and words
EDL	00:01:17,312	00:01:21,664	| 99pi-0245-theeponymist-1 |	That's kind of like saying that this show is about architecture and design the description
EDL	00:01:21,664	00:01:23,456	| 99pi-0245-theeponymist-1 |	Doesn't quite capture the way
EDL	00:01:23,456	00:01:26,272	| 99pi-0245-theeponymist-1 |	We use those lenses to view the World At Large
EDL	00:01:26,784	00:01:27,808	| 99pi-0245-theeponymist-1 |	My favorite
EDL	00:01:27,808	00:01:28,576	| 99pi-0245-theeponymist-1 |	Words
