EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:00,512	00:00:04,608	| 20180404_pmoney_pmpod685rerun-37fd3f93-a9cb-47e7-9558-5e370cdca20e.mp3_2bee2feba4c3ccb62367e092b7d44a44_18804621 |	Everybody's David we are replaying one of our favorite episodes today this story is about
EDL	00:00:05,120	00:00:05,632	| 20180404_pmoney_pmpod685rerun-37fd3f93-a9cb-47e7-9558-5e370cdca20e.mp3_2bee2feba4c3ccb62367e092b7d44a44_18804621 |	I'm not going to
EDL	00:00:06,912	00:00:08,448	| 20180404_pmoney_pmpod685rerun-37fd3f93-a9cb-47e7-9558-5e370cdca20e.mp3_2bee2feba4c3ccb62367e092b7d44a44_18804621 |	Larry Williams has a lot of stuff
EDL	00:00:09,216	00:00:10,752	| 20180404_pmoney_pmpod685rerun-37fd3f93-a9cb-47e7-9558-5e370cdca20e.mp3_2bee2feba4c3ccb62367e092b7d44a44_18804621 |	There was a quest to find Noah's Ark
EDL	00:00:11,520	00:00:17,152	| 20180404_pmoney_pmpod685rerun-37fd3f93-a9cb-47e7-9558-5e370cdca20e.mp3_2bee2feba4c3ccb62367e092b7d44a44_18804621 |	Find it where's the time he ran for US Senate in Montana didn't win but he got 44% of the vote
EDL	00:00:17,152	00:00:18,688	| 20180404_pmoney_pmpod685rerun-37fd3f93-a9cb-47e7-9558-5e370cdca20e.mp3_2bee2feba4c3ccb62367e092b7d44a44_18804621 |	And then there's the one we're going to tell you today
EDL	00:00:19,456	00:00:20,736	| 20180404_pmoney_pmpod685rerun-37fd3f93-a9cb-47e7-9558-5e370cdca20e.mp3_2bee2feba4c3ccb62367e092b7d44a44_18804621 |	It starts in 1986
EDL	00:00:21,248	00:00:24,576	| 20180404_pmoney_pmpod685rerun-37fd3f93-a9cb-47e7-9558-5e370cdca20e.mp3_2bee2feba4c3ccb62367e092b7d44a44_18804621 |	Larry and some of his buddies are up in New Mexico is Caballo Mountain
EDL	00:00:25,344	00:00:26,880	| 20180404_pmoney_pmpod685rerun-37fd3f93-a9cb-47e7-9558-5e370cdca20e.mp3_2bee2feba4c3ccb62367e092b7d44a44_18804621 |	Hanging out in the sagebrush
EDL	00:00:26,880	00:00:27,392	| 20180404_pmoney_pmpod685rerun-37fd3f93-a9cb-47e7-9558-5e370cdca20e.mp3_2bee2feba4c3ccb62367e092b7d44a44_18804621 |	Camping tents
EDL	00:00:28,160	00:00:29,952	| 20180404_pmoney_pmpod685rerun-37fd3f93-a9cb-47e7-9558-5e370cdca20e.mp3_2bee2feba4c3ccb62367e092b7d44a44_18804621 |	And then one night he said they're all sitting on the couch
EDL	00:00:30,720	00:00:34,816	| 20180404_pmoney_pmpod685rerun-37fd3f93-a9cb-47e7-9558-5e370cdca20e.mp3_2bee2feba4c3ccb62367e092b7d44a44_18804621 |	We started talking as guys do talk about a campfire about a lot of things
EDL	00:00:34,816	00:00:39,936	| 20180404_pmoney_pmpod685rerun-37fd3f93-a9cb-47e7-9558-5e370cdca20e.mp3_2bee2feba4c3ccb62367e092b7d44a44_18804621 |	And nobody really enjoys paying taxes that's not surprising
EDL	00:00:39,936	00:00:41,984	| 20180404_pmoney_pmpod685rerun-37fd3f93-a9cb-47e7-9558-5e370cdca20e.mp3_2bee2feba4c3ccb62367e092b7d44a44_18804621 |	The question came up the question
EDL	00:00:41,984	00:00:44,032	| 20180404_pmoney_pmpod685rerun-37fd3f93-a9cb-47e7-9558-5e370cdca20e.mp3_2bee2feba4c3ccb62367e092b7d44a44_18804621 |	Do you really have to pay your income
EDL	00:00:44,800	00:00:48,896	| 20180404_pmoney_pmpod685rerun-37fd3f93-a9cb-47e7-9558-5e370cdca20e.mp3_2bee2feba4c3ccb62367e092b7d44a44_18804621 |	Larry it heard about these people who had found legal ways not to pay at all
EDL	00:00:48,896	00:00:52,480	| 20180404_pmoney_pmpod685rerun-37fd3f93-a9cb-47e7-9558-5e370cdca20e.mp3_2bee2feba4c3ccb62367e092b7d44a44_18804621 |	As It Happened One of the men sitting around that campfire was a lawyer
EDL	00:00:52,480	00:00:53,248	| 20180404_pmoney_pmpod685rerun-37fd3f93-a9cb-47e7-9558-5e370cdca20e.mp3_2bee2feba4c3ccb62367e092b7d44a44_18804621 |	A man named Jim Knowles
EDL	00:00:54,016	00:00:56,320	| 20180404_pmoney_pmpod685rerun-37fd3f93-a9cb-47e7-9558-5e370cdca20e.mp3_2bee2feba4c3ccb62367e092b7d44a44_18804621 |	I asked the gym about
EDL	00:00:56,320	00:00:56,832	| 20180404_pmoney_pmpod685rerun-37fd3f93-a9cb-47e7-9558-5e370cdca20e.mp3_2bee2feba4c3ccb62367e092b7d44a44_18804621 |	Jim cigars
EDL	00:00:57,344	00:01:00,160	| 20180404_pmoney_pmpod685rerun-37fd3f93-a9cb-47e7-9558-5e370cdca20e.mp3_2bee2feba4c3ccb62367e092b7d44a44_18804621 |	Now so I'll BSS you know you got to pay your taxes
EDL	00:01:00,672	00:01:02,464	| 20180404_pmoney_pmpod685rerun-37fd3f93-a9cb-47e7-9558-5e370cdca20e.mp3_2bee2feba4c3ccb62367e092b7d44a44_18804621 |	Call your lawyer look into it
EDL	00:01:02,464	00:01:04,000	| 20180404_pmoney_pmpod685rerun-37fd3f93-a9cb-47e7-9558-5e370cdca20e.mp3_2bee2feba4c3ccb62367e092b7d44a44_18804621 |	The lawyer Jim wasn't respectable
EDL	00:01:04,512	00:01:06,048	| 20180404_pmoney_pmpod685rerun-37fd3f93-a9cb-47e7-9558-5e370cdca20e.mp3_2bee2feba4c3ccb62367e092b7d44a44_18804621 |	Active in his community in
EDL	00:01:06,048	00:01:07,328	| 20180404_pmoney_pmpod685rerun-37fd3f93-a9cb-47e7-9558-5e370cdca20e.mp3_2bee2feba4c3ccb62367e092b7d44a44_18804621 |	Church total stretch
EDL	00:01:08,096	00:01:08,864	| 20180404_pmoney_pmpod685rerun-37fd3f93-a9cb-47e7-9558-5e370cdca20e.mp3_2bee2feba4c3ccb62367e092b7d44a44_18804621 |	And he says
EDL	00:01:08,864	00:01:09,632	| 20180404_pmoney_pmpod685rerun-37fd3f93-a9cb-47e7-9558-5e370cdca20e.mp3_2bee2feba4c3ccb62367e092b7d44a44_18804621 |	Sure
EDL	00:01:09,632	00:01:10,144	| 20180404_pmoney_pmpod685rerun-37fd3f93-a9cb-47e7-9558-5e370cdca20e.mp3_2bee2feba4c3ccb62367e092b7d44a44_18804621 |	I will look into
EDL	00:01:11,168	00:01:12,448	| 20180404_pmoney_pmpod685rerun-37fd3f93-a9cb-47e7-9558-5e370cdca20e.mp3_2bee2feba4c3ccb62367e092b7d44a44_18804621 |	Larry didn't hear anything for a while
EDL	00:01:13,216	00:01:15,008	| 20180404_pmoney_pmpod685rerun-37fd3f93-a9cb-47e7-9558-5e370cdca20e.mp3_2bee2feba4c3ccb62367e092b7d44a44_18804621 |	Then one day he gets this call
EDL	00:01:15,520	00:01:16,800	| 20180404_pmoney_pmpod685rerun-37fd3f93-a9cb-47e7-9558-5e370cdca20e.mp3_2bee2feba4c3ccb62367e092b7d44a44_18804621 |	It's Jim the lawyer
EDL	00:01:16,800	00:01:17,568	| 20180404_pmoney_pmpod685rerun-37fd3f93-a9cb-47e7-9558-5e370cdca20e.mp3_2bee2feba4c3ccb62367e092b7d44a44_18804621 |	Sing
EDL	00:01:17,568	00:01:18,592	| 20180404_pmoney_pmpod685rerun-37fd3f93-a9cb-47e7-9558-5e370cdca20e.mp3_2bee2feba4c3ccb62367e092b7d44a44_18804621 |	Can I come by and talk to you
EDL	00:01:19,104	00:01:20,384	| 20180404_pmoney_pmpod685rerun-37fd3f93-a9cb-47e7-9558-5e370cdca20e.mp3_2bee2feba4c3ccb62367e092b7d44a44_18804621 |	Mary says sure
EDL	00:01:20,384	00:01:24,224	| 20180404_pmoney_pmpod685rerun-37fd3f93-a9cb-47e7-9558-5e370cdca20e.mp3_2bee2feba4c3ccb62367e092b7d44a44_18804621 |	Jim comes by and explains he's pretty sure he's found a hole in the tax laws
EDL	00:01:24,736	00:01:27,808	| 20180404_pmoney_pmpod685rerun-37fd3f93-a9cb-47e7-9558-5e370cdca20e.mp3_2bee2feba4c3ccb62367e092b7d44a44_18804621 |	A hole so big that Larry and whoever else wanted to
EDL	00:01:27,808	00:01:28,832	| 20180404_pmoney_pmpod685rerun-37fd3f93-a9cb-47e7-9558-5e370cdca20e.mp3_2bee2feba4c3ccb62367e092b7d44a44_18804621 |	Could just walk right through
EDL	00:01:29,344	00:01:31,136	| 20180404_pmoney_pmpod685rerun-37fd3f93-a9cb-47e7-9558-5e370cdca20e.mp3_2bee2feba4c3ccb62367e092b7d44a44_18804621 |	When he told you that did you think
EDL	00:01:31,136	00:01:32,928	| 20180404_pmoney_pmpod685rerun-37fd3f93-a9cb-47e7-9558-5e370cdca20e.mp3_2bee2feba4c3ccb62367e092b7d44a44_18804621 |	Maybe I don't have to pay income tax
EDL	00:01:33,696	00:01:37,280	| 20180404_pmoney_pmpod685rerun-37fd3f93-a9cb-47e7-9558-5e370cdca20e.mp3_2bee2feba4c3ccb62367e092b7d44a44_18804621 |	Yeah of course I did I'm here as a lawyer Hastings law school lawyer
EDL	00:01:37,280	00:01:40,864	| 20180404_pmoney_pmpod685rerun-37fd3f93-a9cb-47e7-9558-5e370cdca20e.mp3_2bee2feba4c3ccb62367e092b7d44a44_18804621 |	And I got a lawyer for 45 years or so
EDL	00:01:41,376	00:01:46,496	| 20180404_pmoney_pmpod685rerun-37fd3f93-a9cb-47e7-9558-5e370cdca20e.mp3_2bee2feba4c3ccb62367e092b7d44a44_18804621 |	Representable guy yeah and that's how Larry Williams decided to stop paying is it
EDL	00:01:46,496	00:01:51,104	| 20180404_pmoney_pmpod685rerun-37fd3f93-a9cb-47e7-9558-5e370cdca20e.mp3_2bee2feba4c3ccb62367e092b7d44a44_18804621 |	Hello and welcome to Planet Money I'm Keith Romer and I'm David kestenbaum
EDL	00:01:51,616	00:01:53,664	| 20180404_pmoney_pmpod685rerun-37fd3f93-a9cb-47e7-9558-5e370cdca20e.mp3_2bee2feba4c3ccb62367e092b7d44a44_18804621 |	Nobody likes painter income taxes
