EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:01,024	00:00:03,328	| 338_Crude_Habitat_pt_01_update |	99percentinvisible is brought to you by Progresso
EDL	00:00:03,840	00:00:06,144	| 338_Crude_Habitat_pt_01_update |	One of the country's leading providers of auto insurance
EDL	00:00:06,656	00:00:08,960	| 338_Crude_Habitat_pt_01_update |	With progressives Name Your Price tool
EDL	00:00:08,960	00:00:12,544	| 338_Crude_Habitat_pt_01_update |	You can say what kind of coverage were looking for and how much you want to pay
EDL	00:00:12,544	00:00:15,104	| 338_Crude_Habitat_pt_01_update |	Progressive will show you options that fit within your budget
EDL	00:00:15,616	00:00:18,944	| 338_Crude_Habitat_pt_01_update |	Use the Name Your Price tool and start an online quote today
EDL	00:00:18,944	00:00:19,968	| 338_Crude_Habitat_pt_01_update |	Progressive.com
EDL	00:00:20,480	00:00:22,528	| 338_Crude_Habitat_pt_01_update |	Price in coverage match limited by state
EDL	00:00:24,832	00:00:25,600	| 338_Crude_Habitat_pt_01_update |	Family ghosts
EDL	00:00:25,600	00:00:31,232	| 338_Crude_Habitat_pt_01_update |	Is a podcast explores all the unexpected ways our family structure and shape our view of the world
EDL	00:00:31,744	00:00:33,280	| 338_Crude_Habitat_pt_01_update |	Each episode of Family ghost
EDL	00:00:33,280	00:00:37,376	| 338_Crude_Habitat_pt_01_update |	Takes a look at the story behind a different person's family lore
EDL	00:00:37,376	00:00:40,192	| 338_Crude_Habitat_pt_01_update |	Digging into unanswered questions about their history
EDL	00:00:40,192	00:00:42,752	| 338_Crude_Habitat_pt_01_update |	Season 2 Launches on May 15th
EDL	00:00:42,752	00:00:46,080	| 338_Crude_Habitat_pt_01_update |	Between episode where they take you inside the love Israel family called
EDL	00:00:46,080	00:00:50,688	| 338_Crude_Habitat_pt_01_update |	An episode about uncovering the secrets scrolled in a newly discovered stack of Love Letters
EDL	00:00:50,688	00:00:57,088	| 338_Crude_Habitat_pt_01_update |	Asuna episode that brings you along to the hunt for a container of missing Chinese food that's haunted a family
EDL	00:00:57,088	00:00:58,368	| 338_Crude_Habitat_pt_01_update |	For 25 years
EDL	00:00:58,368	00:00:58,880	| 338_Crude_Habitat_pt_01_update |	And more
EDL	00:00:59,392	00:01:03,488	| 338_Crude_Habitat_pt_01_update |	Subscribe to family goes wherever you get your podcast and find out why they say
EDL	00:01:03,488	00:01:04,768	| 338_Crude_Habitat_pt_01_update |	Every house is haunted
EDL	00:01:05,792	00:01:07,328	| 338_Crude_Habitat_pt_01_update |	This is 99% invisible
EDL	00:01:07,840	00:01:08,608	| 338_Crude_Habitat_pt_01_update |	I'm Roman Mars
EDL	00:01:10,656	00:01:13,216	| 338_Crude_Habitat_pt_01_update |	There are a lot of beautiful places in California
EDL	00:01:13,216	00:01:15,008	| 338_Crude_Habitat_pt_01_update |	Downtown Oakland for example
EDL	00:01:15,520	00:01:16,544	| 338_Crude_Habitat_pt_01_update |	But Santa Barbara
EDL	00:01:17,056	00:01:17,568	| 338_Crude_Habitat_pt_01_update |	Is like
EDL	00:01:18,336	00:01:18,848	| 338_Crude_Habitat_pt_01_update |	Stupid beautiful
EDL	00:01:19,360	00:01:20,128	| 338_Crude_Habitat_pt_01_update |	Yeah it's like
EDL	00:01:20,128	00:01:23,200	| 338_Crude_Habitat_pt_01_update |	Economically picturesque California seeing here
EDL	00:01:23,712	00:01:29,600	| 338_Crude_Habitat_pt_01_update |	A few months back we sent producer Emmett Fitzgerald down to Santa Barbara on a really taxing reporting assignment
EDL	00:01:30,112	00:01:30,880	| 338_Crude_Habitat_pt_01_update |	Dallas
EDL	00:01:30,880	00:01:32,672	| 338_Crude_Habitat_pt_01_update |	Beautiful sailboats
EDL	00:01:33,184	00:01:34,464	| 338_Crude_Habitat_pt_01_update |	Pelicans
EDL	00:01:36,000	00:01:37,024	| 338_Crude_Habitat_pt_01_update |	Two dolphins
EDL	00:01:38,304	00:01:39,840	| 338_Crude_Habitat_pt_01_update |	Songs beginning with that
EDL	00:01:40,608	00:01:41,376	| 338_Crude_Habitat_pt_01_update |	Through rough life
EDL	00:01:41,888	00:01:42,912	| 338_Crude_Habitat_pt_01_update |	Here comes a wave
EDL	00:01:49,056	00:01:49,568	| 338_Crude_Habitat_pt_01_update |	F clef
EDL	00:01:50,336	00:01:52,640	| 338_Crude_Habitat_pt_01_update |	And it really put himself In Harm's Way for the story
EDL	00:01:53,664	00:01:56,736	| 338_Crude_Habitat_pt_01_update |	But if you look out at the ocean from this Scenic spot
EDL	00:01:56,736	00:01:57,760	| 338_Crude_Habitat_pt_01_update |	You'll see something else
EDL	00:01:58,272	00:01:59,040	| 338_Crude_Habitat_pt_01_update |	Something
EDL	00:01:59,040	00:01:59,808	| 338_Crude_Habitat_pt_01_update |	A little less
EDL	00:01:59,808	00:02:01,344	| 338_Crude_Habitat_pt_01_update |	Conventionally attractive
EDL	00:02:01,856	00:02:03,136	| 338_Crude_Habitat_pt_01_update |	Right on the horizon line
EDL	00:02:04,416	00:02:06,464	| 338_Crude_Habitat_pt_01_update |	That one too
EDL	00:02:06,464	00:02:07,488	| 338_Crude_Habitat_pt_01_update |	Three four
EDL	00:02:08,768	00:02:10,816	| 338_Crude_Habitat_pt_01_update |	567
EDL	00:02:12,864	00:02:14,912	| 338_Crude_Habitat_pt_01_update |	Big offshore oil platforms
EDL	00:02:15,424	00:02:16,192	| 338_Crude_Habitat_pt_01_update |	They look like
EDL	00:02:16,192	00:02:18,752	| 338_Crude_Habitat_pt_01_update |	Buildings out there floating in the water
EDL	00:02:18,752	00:02:20,544	| 338_Crude_Habitat_pt_01_update |	Giant battleships or something
EDL	00:02:21,824	00:02:24,128	| 338_Crude_Habitat_pt_01_update |	The prettiest people here
