EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:02,048	00:00:03,072	| radiolab_podcast15rhinohunter |	Are you weightless
EDL	00:00:10,752	00:00:15,616	| radiolab_podcast15rhinohunter |	Radio WNYC
EDL	00:00:17,920	00:00:24,320	| radiolab_podcast15rhinohunter |	Hey I'm Jared I'm Robert krulwich this is Radiolab and today a story that we
EDL	00:00:24,320	00:00:29,184	| radiolab_podcast15rhinohunter |	Been working on for close to two years but just before we're about to put on the air
EDL	00:00:29,696	00:00:36,096	| radiolab_podcast15rhinohunter |	This happened our next story in perspective it's as if someone
EDL	00:00:36,096	00:00:42,496	| radiolab_podcast15rhinohunter |	One had killed Lassie as you probably know over this past summer a Minnesota dentist named Walter
EDL	00:00:42,496	00:00:45,824	| radiolab_podcast15rhinohunter |	Sir Palmer paid 55 grand to get permission
EDL	00:00:46,336	00:00:52,736	| radiolab_podcast15rhinohunter |	Hunt and kill a lion a lion named Cecil
EDL	00:00:52,736	00:00:59,136	| radiolab_podcast15rhinohunter |	The country of Zimbabwe who's the pretty famous lines or the star of that Park and been in a few studies so immediately there were alligators
EDL	00:00:59,136	00:01:05,280	| radiolab_podcast15rhinohunter |	The poaching Zimbabwe where Cecil was killed open up an investigation but what really caught our eye
EDL	00:01:06,560	00:01:12,960	| radiolab_podcast15rhinohunter |	Was the reaction from the public lion killer the words painted on the home of dr. Walter Palmer
EDL	00:01:12,960	00:01:19,360	| radiolab_podcast15rhinohunter |	People found out his home address started sharing online his livelihood now
EDL	00:01:19,360	00:01:25,504	| radiolab_podcast15rhinohunter |	Protesters gathered outside his office
EDL	00:01:26,016	00:01:32,416	| radiolab_podcast15rhinohunter |	He was forced to temporarily close his business across the internet all over social media and YouTube
EDL	00:01:32,416	00:01:34,976	| radiolab_podcast15rhinohunter |	To bend warning this next minute contains some
EDL	00:01:34,976	00:01:36,512	| radiolab_podcast15rhinohunter |	Pretty strong language
EDL	00:01:36,512	00:01:42,912	| radiolab_podcast15rhinohunter |	You are truly scum-of-the-earth wrote One
EDL	00:01:42,912	00:01:49,056	| radiolab_podcast15rhinohunter |	May you f****** fun to death I want somebody to take f****** with beds
EDL	00:01:55,712	00:01:59,296	| radiolab_podcast15rhinohunter |	Today we bring you a story that we hope
EDL	00:02:00,576	00:02:03,648	| radiolab_podcast15rhinohunter |	Will be a little bit of signal and all that noise this is a story about that
EDL	00:02:04,416	00:02:07,488	| radiolab_podcast15rhinohunter |	Strange relationship between wanting to hunt and kill an animal
EDL	00:02:08,000	00:02:09,024	| radiolab_podcast15rhinohunter |	And wanting to save it
EDL	00:02:11,072	00:02:13,376	| radiolab_podcast15rhinohunter |	And it comes from my producers Simon Adler
EDL	00:02:13,376	00:02:14,400	| radiolab_podcast15rhinohunter |	1 2 3 4 5
EDL	00:02:14,912	00:02:16,448	| radiolab_podcast15rhinohunter |	1 2 3 4 5
EDL	00:02:16,448	00:02:18,752	| radiolab_podcast15rhinohunter |	Alright so this story really started for me
EDL	00:02:19,264	00:02:20,032	| radiolab_podcast15rhinohunter |	In Salt Lake City
EDL	00:02:20,800	00:02:27,200	| radiolab_podcast15rhinohunter |	The past February I went to the Western hunting & conservation Expo sometimes
EDL	00:02:27,200	00:02:31,040	| radiolab_podcast15rhinohunter |	Referred to as the Super Bowl of hunting from walking through
EDL	00:02:31,040	00:02:37,440	| radiolab_podcast15rhinohunter |	This airplane Hangar size room is massive Convention Center called the salt
EDL	00:02:37,440	00:02:43,840	| radiolab_podcast15rhinohunter |	Alice over 40000 people there gun manufacturers ever bowmakers there were
EDL	00:02:43,840	00:02:47,168	| radiolab_podcast15rhinohunter |	Call makers from the single Reed
EDL	00:02:47,168	00:02:47,936	| radiolab_podcast15rhinohunter |	Camouflage
EDL	00:02:47,936	00:02:51,008	| radiolab_podcast15rhinohunter |	Clothing apparel companies
EDL	00:02:51,008	00:02:54,336	| radiolab_podcast15rhinohunter |	And I hope you're having a good time and if you're having a good time
EDL	00:02:54,336	00:02:55,872	| radiolab_podcast15rhinohunter |	I want to hear a Big E Hall
EDL	00:02:58,176	00:03:00,992	| radiolab_podcast15rhinohunter |	As part of the Expo off this main floor
EDL	00:03:00,992	00:03:03,808	| radiolab_podcast15rhinohunter |	There was a banquet hall where there was an MC who is working
EDL	00:03:04,320	00:03:04,832	| radiolab_podcast15rhinohunter |	What's today
EDL	00:03:05,344	00:03:07,392	| radiolab_podcast15rhinohunter |	I want to continue on a couple of thoughts
EDL	00:03:07,904	00:03:09,696	| radiolab_podcast15rhinohunter |	That we touched on last night
EDL	00:03:10,464	00:03:11,744	| radiolab_podcast15rhinohunter |	Your greatest
EDL	00:03:11,744	00:03:12,512	| radiolab_podcast15rhinohunter |	Conservation
EDL	00:03:12,512	00:03:14,304	| radiolab_podcast15rhinohunter |	President Theodore Roosevelt said
EDL	00:03:15,072	00:03:16,096	| radiolab_podcast15rhinohunter |	The wild life
EDL	00:03:16,096	00:03:17,120	| radiolab_podcast15rhinohunter |	And its habitat
EDL	00:03:17,632	00:03:19,424	| radiolab_podcast15rhinohunter |	Cannot speak for itself
EDL	00:03:20,192	00:03:21,472	| radiolab_podcast15rhinohunter |	So we
EDL	00:03:21,472	00:03:21,984	| radiolab_podcast15rhinohunter |	Must
EDL	00:03:23,008	00:03:23,776	| radiolab_podcast15rhinohunter |	Let me tell you
EDL	00:03:24,800	00:03:25,568	| radiolab_podcast15rhinohunter |	We have
