EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:02,048	00:00:02,816	| radiolab_podcast19bitflipfix |	Are you awake
EDL	00:00:06,912	00:00:10,496	| radiolab_podcast19bitflipfix |	Listening to Radiolab
EDL	00:00:11,520	00:00:15,616	| radiolab_podcast19bitflipfix |	Radio WNYC
EDL	00:00:20,992	00:00:21,760	| radiolab_podcast19bitflipfix |	Anyhow
EDL	00:00:21,760	00:00:24,320	| radiolab_podcast19bitflipfix |	So what have you been up to any microphone
EDL	00:00:24,832	00:00:27,392	| radiolab_podcast19bitflipfix |	I think we're going to share cuz what else are we going to do
EDL	00:00:27,392	00:00:27,904	| radiolab_podcast19bitflipfix |	I think
EDL	00:00:29,952	00:00:34,560	| radiolab_podcast19bitflipfix |	Strike like a Viper Radiolab
EDL	00:00:35,072	00:00:41,472	| radiolab_podcast19bitflipfix |	Go like this and today that's like that story about when things for
EDL	00:00:41,472	00:00:42,752	| radiolab_podcast19bitflipfix |	Far far away
EDL	00:00:42,752	00:00:43,264	| radiolab_podcast19bitflipfix |	Combiner head
EDL	00:00:43,776	00:00:44,800	| radiolab_podcast19bitflipfix |	Hit very close
EDL	00:00:45,824	00:00:47,360	| radiolab_podcast19bitflipfix |	Just put your hand on his forehead
EDL	00:00:47,360	00:00:52,992	| radiolab_podcast19bitflipfix |	Or over my bowel satisfying comes to us from producers Simon Adler
EDL	00:00:52,992	00:00:53,760	| radiolab_podcast19bitflipfix |	And anemic
EDL	00:00:55,040	00:00:56,576	| radiolab_podcast19bitflipfix |	Okay okay
EDL	00:00:56,576	00:00:58,368	| radiolab_podcast19bitflipfix |	So you're going to tell something about something
EDL	00:00:59,392	00:01:01,184	| radiolab_podcast19bitflipfix |	Who should I start
EDL	00:01:01,184	00:01:02,208	| radiolab_podcast19bitflipfix |	Okay so
EDL	00:01:02,720	00:01:05,024	| radiolab_podcast19bitflipfix |	We've been exploring what happened on May 18th
EDL	00:01:05,536	00:01:06,560	| radiolab_podcast19bitflipfix |	2003
EDL	00:01:06,560	00:01:08,096	| radiolab_podcast19bitflipfix |	In the great city of Brussels
EDL	00:01:08,608	00:01:10,400	| radiolab_podcast19bitflipfix |	Specifically
EDL	00:01:10,400	00:01:11,168	| radiolab_podcast19bitflipfix |	Skarbek
EDL	00:01:11,168	00:01:11,680	| radiolab_podcast19bitflipfix |	Starbucks
EDL	00:01:12,704	00:01:15,008	| radiolab_podcast19bitflipfix |	When is mr. Gatti's in Brussels story starts with this
EDL	00:01:15,776	00:01:16,544	| radiolab_podcast19bitflipfix |	So
EDL	00:01:16,544	00:01:18,336	| radiolab_podcast19bitflipfix |	It was it was around
EDL	00:01:18,336	00:01:21,408	| radiolab_podcast19bitflipfix |	11:30 p.m. and I was
EDL	00:01:21,408	00:01:22,944	| radiolab_podcast19bitflipfix |	With one of my colleagues
EDL	00:01:22,944	00:01:25,504	| radiolab_podcast19bitflipfix |	Add a restaurant to have one of the good meal of the day
EDL	00:01:25,504	00:01:26,272	| radiolab_podcast19bitflipfix |	This
EDL	00:01:26,272	00:01:28,320	| radiolab_podcast19bitflipfix |	Is Emmanuel Emmanuel Williams
EDL	00:01:28,320	00:01:33,952	| radiolab_podcast19bitflipfix |	I am the the one everybody calls when should hit the fan now let's put it that way
EDL	00:01:33,952	00:01:37,792	| radiolab_podcast19bitflipfix |	And that evening Emmanuel along with much of the rest of the country
EDL	00:01:37,792	00:01:40,608	| radiolab_podcast19bitflipfix |	Was waiting around for that day is national election
EDL	00:01:41,376	00:01:42,144	| radiolab_podcast19bitflipfix |	The results
EDL	00:01:42,144	00:01:43,424	| radiolab_podcast19bitflipfix |	For all the
EDL	00:01:43,424	00:01:45,216	| radiolab_podcast19bitflipfix |	Difference parliamentary assembly
EDL	00:01:45,216	00:01:47,776	| radiolab_podcast19bitflipfix |	Manuel's mind was on something else
EDL	00:01:48,288	00:01:52,384	| radiolab_podcast19bitflipfix |	Because across the country that day millions of people had just voted on computers
EDL	00:01:52,896	00:01:56,992	| radiolab_podcast19bitflipfix |	Belgium was in the early days of experimenting with electronic voting
EDL	00:01:56,992	00:01:59,040	| radiolab_podcast19bitflipfix |	And so instead of filling
